"FINANCE, INVESTMENT & BANKI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","",""
"Bank Management","410","001","","43","3.326","27.9","32.6","23.3","9.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","420","001","","43","3.558","44.2","30.2","20.9","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Applied Equity Mkts Research 1","535","001","","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Planning Estates & Transitions","601","001","","39","3.923","87.2","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635","001","","43","3.267","44.2","11.6","23.3","4.7","11.6","4.7",".",".",".",".",".",".",".",".",".","."
"","635","002","","30","3.450","53.3","16.7","20.0",".","3.3","6.7",".",".",".",".",".",".",".",".",".","."
"Business Valuation","","Course Total","","73","3.342","47.9","13.7","21.9","2.7","8.2","5.5",".",".",".",".",".",".",".",".",".","."
"","640","001","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640","002","","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Credit Analysis & Tradng","","Course Total","","29","3.724","62.1","20.7","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Appl Security Analyss","645","001","","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mergers and Acquisitions","650","001","","28","3.554","39.3","35.7","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","700","020","","42","3.583","38.1","42.9","16.7","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","700","021","","43","3.547","27.9","53.5","18.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","050","","60","3.933","90.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","051","","33","3.833","72.7","21.2","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","","Course Total","","178","3.739","59.6","29.2","10.7","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720","060","","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725","050","","47","3.681","57.4","27.7","10.6","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","730","060","","15","3.567","26.7","60.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis Fixed Inc Securities","740","001","","37","3.905","81.1","18.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in Finance","760","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","004","","10","3.350","30.0","30.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"SecurityAnalysis&Invstmt Mgt I","835","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics Seminar-Finance PhD","974","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","990","121","","3","***","","","","","","","","","",".",".",".",".",".",".","."
