"EDU","","","","","","","","","","","","","","","","","","","","","","","","",""
"OCCUPATIONAL THER (DEPT-KI Section","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
695
OCC THER","524","3.880","87.6","8.2","3.4","0.4","",".","",".","0.4","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","16","3.719","87.5","6.3",".",".","",".","",".","6.3","",".","",".",".","",".","",".","",".",".",".","."
"Junior","13","3.577","76.9","7.7","7.7",".","",".","",".","7.7","",".","",".",".","",".","",".","",".",".",".","."
"Senior","19","3.816","78.9","10.5","5.3","5.3","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","49","3.724","81.6","8.2","4.1","2.0","",".","",".","4.1","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","475","3.886","88.2","8.2","3.4","0.2","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","524","3.880","87.6","8.2","3.4","0.4","",".","",".","0.4","",".","",".",".","",".","",".","",".",".",".","."
