"L&S","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"","110
001","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
003","21","3.833","76.2","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"First-year Seminar in ILS","Course Total","57","3.860","77.2","19.3","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","187","3.766","75.9","13.4","6.4","1.1","1.1",".","1.6",".",".",".",".",".",".","0.5",".","."
"W Culture:Sci,Tech,Philos I","201
001","140","3.629","55.7","30.0","9.3","0.7","0.7","1.4","1.4",".",".",".",".",".","0.7",".",".","."
"West Culture:Lit&The Arts I","203
001","219","3.686","68.0","15.5","5.9","0.9","2.7","1.4","1.4","3.7",".",".",".",".","0.5",".",".","."
"W Cult:Pol,Econ&Soc Thght I","205
001","24","3.826","62.5","33.3",".",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"Literature and Science","254
001","23","3.696","47.8","47.8",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sustainability Sci","255
001","15","3.600","53.3","13.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machiavelli and His World","365
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Migration Lit Americas","367
001","44","3.866","84.1","6.8",".",".",".",".","2.3","6.8",".",".",".",".",".",".",".","."
"500
ILS","Dept. Total","718","3.725","68.4","19.2","6.1","1.0","1.3","0.7","1.3","1.5",".",".",".",".","0.3","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","159","3.736","68.6","21.4","6.3","0.6","1.9","0.6","0.6",".",".",".",".",".",".",".",".","."
"Sophomore","","289","3.741","71.3","18.0","6.9","1.0","0.3","0.7","1.4",".",".",".",".",".","0.3",".",".","."
"Junior","","152","3.670","65.8","21.7","5.9","2.0","0.7","1.3","2.0",".",".",".",".",".","0.7",".",".","."
"Senior","","105","3.745","72.4","18.1","4.8",".","3.8",".","1.0",".",".",".",".",".",".",".",".","."
"Undergraduates","","705","3.725","69.6","19.6","6.2","1.0","1.3","0.7","1.3",".",".",".",".",".","0.3",".",".","."
"Special","","13","",".",".",".",".",".",".",".","84.6",".",".",".",".",".","7.7","7.7","."
"","Dept. Total","718","3.725","68.4","19.2","6.1","1.0","1.3","0.7","1.3","1.5",".",".",".",".","0.3","0.1","0.1","."
