"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"495
INTEGART","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Studio Seminar","110
001","","40","3.975","95.0","5.0","",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Intro to Arts Entrepreneurship","632
001","","1","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"495
INTEGART","Dept. Total","","41","3.977","95.1","4.9","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"495
INTEGART","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","28","3.982","96.4","3.6","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","11","3.955","90.9","9.1","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","","40","3.975","95.0","5.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","41","3.977","95.1","4.9","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
