"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","192","3.875","84.9","10.9","1.6","0.5","1.6","0.5",".",".",".",".",".",".",".",".",".","."
"","306
002","51","4.000","96.1",".",".",".",".",".",".",".",".",".",".",".",".",".","3.9","."
"","306
003","74","3.919","86.5","10.8","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
004","29","3.948","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
005","39","3.859","84.6","10.3",".","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","306
006","42","3.762","76.2","11.9","7.1","2.4",".","2.4",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","427","3.889","86.2","9.1","2.1","0.7","0.9","0.5",".",".",".",".",".",".",".",".","0.5","."
"","365
002","11","3.500","45.5","36.4",".",".",".","9.1",".",".",".",".",".",".","9.1",".",".","."
"","365
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","16","3.567","43.8","43.8",".",".",".","6.3",".",".",".",".",".",".","6.3",".",".","."
"","410
001","12","2.792","8.3","25.0","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"","410
002","32","3.047","31.3","9.4","25.0","12.5","18.8","3.1",".",".",".",".",".",".",".",".",".","."
"","410
003","54","3.407","27.8","37.0","25.9","7.4","1.9",".",".",".",".",".",".",".",".",".",".","."
"","410
004","26","3.327","26.9","23.1","42.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","124","3.238","26.6","25.8","28.2","8.9","9.7","0.8",".",".",".",".",".",".",".",".",".","."
"","411
002","105","3.552","41.9","30.5","23.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","411
003","73","3.507","43.8","26.0","20.5","6.8","2.7",".",".",".",".",".",".",".",".",".",".","."
"","411
004","34","3.662","70.6","11.8","8.8","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Excel Modeling","Course Total","212","3.554","47.2","25.9","20.3","4.7","1.4","0.5",".",".",".",".",".",".",".",".",".","."
"","412
002","70","3.586","45.7","31.4","17.1","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","412
004","62","3.484","41.9","25.8","19.4","12.9",".",".",".",".",".",".",".",".",".",".",".","."
"","412
005","49","3.520","36.7","40.8","16.3","2.0","4.1",".",".",".",".",".",".",".",".",".",".","."
"ARGUS Modeling","Course Total","181","3.533","42.0","32.0","17.7","7.2","1.1",".",".",".",".",".",".",".",".",".",".","."
"","415
001","47","3.553","40.4","34.0","23.4",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","415
002","41","3.488","34.1","34.1","29.3",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","415
003","43","3.500","39.5","32.6","20.9","2.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"","415
004","20","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","151","3.513","35.8","37.1","23.8","0.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"","420
001","28","3.357","39.3","25.0","21.4","10.7",".",".","3.6",".",".",".",".",".",".",".",".","."
"","420
002","52","3.510","44.2","28.8","13.5","11.5","1.9",".",".",".",".",".",".",".",".",".",".","."
"","420
003","54","3.463","29.6","38.9","25.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","420
004","17","3.529","47.1","29.4","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","151","3.467","38.4","31.8","18.5","9.9","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"","425
001","40","3.713","45.0","52.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","40","3.625","30.0","65.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
003","40","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","120","3.688","41.7","54.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
001","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
003","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
004","8","3.438",".","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Est Investment Analysis","Course Total","45","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","21","3.690","61.9","28.6",".","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 68 of 478"
