"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","372
003","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","78","3.987","98.7",".","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Teaching Practicum III","373
001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Teaching Science-Sec Schl","390
001","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Teach Secondary Schl Math I","393
001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Teaching of English","396
001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race, Intersection & Equity","406
001","","137","3.963","95.6","2.9",".",".",".","0.7",".",".",".",".",".",".",".",".","0.7","."
"Preparing to Teach Abroad","418
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","432
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","432
002","","18","3.917","94.4",".",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Game Design II","Course Total","","37","3.959","97.3",".",".","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching World Lang-PK-8","442
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar - Elementary Education","463
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tchg in Elem School","464
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","495
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","495
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","Course Total","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"CS Education","502
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","506
001","","16","3.563","75.0",".","18.8",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","506
002","","47","3.936","93.6",".","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","","63","3.841","88.9",".","9.5",".",".",".","1.6",".",".",".",".",".",".",".",".","."
"Inclusive Education-Secondary","507
001","","84","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","511
001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","511
002","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","511
003","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","511
004","","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","511
005","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"School-Based Practicum","Course Total","","84","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Teaching World Languages I","545
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methds&Matls-Early Childhd Edu","550
001","","31","3.935","90.3","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
