"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"Intro Mechanics Engr Applictns","130
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Design Practicum","170
001","205","3.941","92.7","3.4","3.4","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","25","3.720","60.0","24.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","22","3.818","72.7","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","21","3.690","61.9","19.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","27","3.352","25.9","44.4","22.2","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"","397
007","21","3.429","33.3","23.8","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","22","3.333","18.2","27.3","50.0",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"","397
010","26","3.423","19.2","50.0","26.9","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","21","3.738","47.6","52.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","19","3.211",".","47.4","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","20","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
018","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
021","21","3.833","76.2","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
022","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
023","22","3.750","68.2","22.7","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
024","21","3.548","14.3","81.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
025","21","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
026","20","3.700","45.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
027","21","3.619","38.1","47.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Communication","Course Total","436","3.649","49.3","34.2","14.4","1.4","0.2",".","0.2",".",".",".",".",".",".","0.2",".","."
"Current Issues in Intl Engr","413
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Prototyping","477
001","25","3.920","92.0",".","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
010","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Interdis Engineering","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
