"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"","300
001","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","47","3.840","83.0","8.5","4.3","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","300
004","30","3.948","86.7","10.0",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","300
005","48","3.833","87.5","8.3",".",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","300
006","15","3.821","73.3","13.3",".","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"School and Society","Course Total","238","3.917","90.8","5.5","0.8","0.8","0.4","0.8",".",".",".",".",".",".","0.8",".",".","."
"Democracy and Education","305
001","24","3.750","79.2","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","320
001","50","3.930","90.0","6.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","48","3.844","79.2","10.4","10.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
003","45","3.878","86.7","8.9",".","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","320
004","24","2.917","33.3","8.3","4.2","25.0","25.0","4.2",".",".",".",".",".",".",".",".",".","."
"Climate Chng, Sustain, and Ed","Course Total","167","3.746","77.8","8.4","4.8","4.2","4.2","0.6",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335
001","32","3.672","78.1","9.4",".",".","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"","350
001","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Education Studies","Course Total","32","3.891","84.4","9.4","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","399
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History-American Education","412
001","72","3.875","83.3","9.7","5.6","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Rethinking After School Educ","450
001","17","3.559","64.7","17.6","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Immigration Education Equity","460
001","28","3.929","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics on Soc Issues and Ed","500
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","542
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","542
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and Public Education","Course Total","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philos Concepts-Tch&Learng","545
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Anthropology and Education","570
001","20","3.925","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Education Policy and Practice","575
001","25","3.820","76.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Politics & Ed","595
002","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Educ Pol","600
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stats for Research & Eval","602
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Ed Policy Studies","701
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Development Sts & Ed","760
001","19","4.000","84.2",".",".",".",".",".",".",".",".",".",".",".","15.8",".",".","."
"","780
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","780
004","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Special Topics in Educ Policy","Course Total","24","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Qual Rsch Mthds-Educ: Field II","789
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem-History of Education","906
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Sociology of Education","908
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 99 of 478",""
