"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Separations-Chem Analysis","Course Total","","12","3.571","58.3","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Chemistry Education Research
758","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Recognition
766","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Electronic Struct of Molecules
775","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Inorganic Chem
801","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry
843","001","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Physical Chemistry
860","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Macromoleculr/Biophys
872","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chemistry-Biology Interface
890","001","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Teaching of Chemistry
901","001","","69","3.681","73.9",".","20.3",".","5.8",".",".",".",".",".",".",".",".",".",".","."
"Sngl Molec Apprchs to Biology
918","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Genomic Sciences Program Semin
923","157","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chemical Biology (Adv)
945","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"980","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","017","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","029","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
