"Migration and Global Health","750
010","24","",".",".",".",".",".",".",".","100.0",".","",".",".","",".","",".",".",".","."
"","890
045","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","890
046","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Reading and Research","Course Total","5","***","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","Dept. Total","219","3.732","42.9","9.6","3.7","1.4","0.9","0.5","0.5","40.2","",".",".","",".","",".","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","11","3.545","81.8",".",".",".","9.1","9.1",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","33","3.909","90.9","3.0","3.0","3.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","21","3.690","61.9","28.6",".","4.8","4.8",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","53","3.652","62.3","20.8","13.2","1.9",".",".","1.9",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","118","3.721","72.0","15.3","6.8","2.5","1.7","0.8","0.8",".","",".",".","",".","",".",".",".",".","."
"Special","","2","***","","","","","","","","","","",".","",".","",".","50.0",".",".","."
"Graduate","","6","3.900","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","11","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","80","4.000","5.0",".",".",".",".",".",".","95.0","",".",".","",".","",".",".",".",".","."
"Professionals","","93","4.000","5.4",".",".",".",".",".",".","94.6","",".",".","",".","",".",".",".",".","."
"","Dept. Total","219","3.732","42.9","9.6","3.7","1.4","0.9","0.5","0.5","40.2","",".",".","",".","",".","0.5",".",".","."
