"Summary by Level","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","17","4.000","100.0","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","23","4.000","100.0","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","72","3.978","98.6","",".","1.4","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","46","",".","",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","47","4.000","2.1","",".",".","",".","",".","",".","",".","97.9","",".",".","",".","",".","",".",".",".","."
