"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"","102
001","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","19","3.658","78.9","5.3","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Introduction to Computing","Course Total","31","3.661","71.0","12.9","9.7","3.2",".",".","3.2",".",".",".",".",".",".",".",".","."
"The Information Society","201
001","139","3.849","82.0","12.9","2.2",".","2.2","0.7",".",".",".",".",".",".",".",".",".","."
"Divides&Differences-Multicultr","202
001","451","3.960","97.1","0.4","0.9","0.9","0.4","0.2",".",".",".",".",".",".",".",".",".","."
"Digital: Privacy & Technology","220
001","57","3.719","68.4","21.1","5.3","3.5",".",".","1.8",".",".",".",".",".",".",".",".","."
"History and Future of Books","350
001","29","3.897","82.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Information","351
001","155","3.955","94.8","1.9","2.6","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Research","Course Total","5","***","","","","","","","","","","","","","","","",""
"","407
001","42","3.369","35.7","33.3","21.4","2.4","2.4","2.4","2.4",".",".",".",".",".",".",".",".","."
"","407
002","35","3.824","88.6",".","5.7",".",".",".","2.9",".",".",".",".",".",".",".","2.9","."
"Data Storytelling","Course Total","77","3.572","59.7","18.2","14.3","1.3","1.3","1.3","2.6",".",".",".",".",".",".",".","1.3","."
"Concepts of Data & Info Scienc","440
001","72","3.875","87.5","8.3","2.8",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"","461
001","80","3.956","96.3",".","2.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","461
002","200","3.980","97.5","2.0",".",".","0.5",".",".",".",".",".",".",".",".",".",".","."
"","461
003","52","3.865","76.9","21.2",".","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","461
004","42","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","461
005","53","3.913","94.3","1.9",".",".",".",".","1.9",".",".",".",".",".","1.9",".",".","."
"Data Ethics and Policy","Course Total","427","3.929","90.4","6.6","1.9","0.5","0.2",".","0.2",".",".",".",".",".","0.2",".",".","."
"Applied Database Design","464
001","86","3.616","52.3","29.1","10.5","5.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"Interaction Design Studio","470
001","65","3.875","86.2","4.6","4.6","1.5","1.5",".",".",".",".",".",".",".",".",".","1.5","."
"Fld Mthd&Pub Presntn-Folklr","490
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
002","11","3.455","45.5","18.2","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","500
003","15","3.267","26.7","26.7","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","500
004","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
006","24","3.542","54.2","12.5","25.0","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Code and Power","Course Total","59","3.517","50.8","16.9","22.0","5.1","5.1",".",".",".",".",".",".",".",".",".",".","."
"","501
001","36","3.875","80.6","13.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","23","3.864","69.6","26.1",".",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"","501
003","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Text Mining","Course Total","78","3.838","73.1","19.2","6.4",".",".",".",".",".",".",".",".",".",".","1.3",".","."
"","510
001","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","510
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
004","24","3.542","66.7","8.3","8.3","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Human Factors in Infosec","Course Total","38","3.658","76.3","5.3","5.3","5.3","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"","601
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 289 of 478",""
