"MATERIALS SCI AND ENGINEERI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","",""
"Materials Experience","260","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Materials","330","001","","24","2.938","29.2","8.3","29.2","4.2","20.8","8.3",".",".",".",".",".",".",".",".",".","."
"Macroprocessing-Materials","332","001","","44","3.148","25.0","18.2","29.5","15.9","11.4",".",".",".",".",".",".",".",".",".",".","."
"","350","001","","103","3.325","36.9","23.3","23.3","6.8","6.8","2.9",".",".",".",".",".",".",".",".",".","."
"","350","002","","107","3.364","32.7","27.1","28.0","6.5","4.7","0.9",".",".",".",".",".",".",".",".",".","."
"Intro to Materials Science","","Course Total","","210","3.345","34.8","25.2","25.7","6.7","5.7","1.9",".",".",".",".",".",".",".",".",".","."
"Struct&Property Rels-Solids","351","001","","18","3.000","16.7","22.2","33.3","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Structures & Phases Lab","360","001","","17","3.647","58.8","17.6","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Synthesis & Characterztn Lab","362","001","","27","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","","41","3.976","95.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","045","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","","Course Total","","62","3.934","91.9","4.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polymeric Materials","421","001","","32","3.078","12.5","25.0","31.3","28.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Engr Materials","423","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Corrosion","433","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crystallog & Xray Diffractn","448","001","","23","3.587","43.5","30.4","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Ceramic Materials","451","001","","28","3.482","39.3","28.6","21.4","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Elec,Opt&Mag Prop of Materials","456","001","","34","3.221","23.5","26.5","26.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Elevated Temp Serv","463","001","","11","3.455","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Project I","470","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Solids","530","001","","34","3.471","41.2","26.5","23.5","2.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Materials Fundamentals","550","001","","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced X-ray Scattering","648","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Electron Microscopy Lab","758","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"MolecularModeling of Materials","760","001","","19","3.526","10.5","84.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","","Page 158 of 478",""
