"MED","","","","","","","","","","","","","","","","","","","",""
"MEDICAL SCIENCES - MED SCH Section","","#","Ave","A","","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","Dept. Total","1173","","",".",".",".",".",".",".",".","94.5","0.6","2.1",".",".","0.8",".",".","2.0"
"Summary by Level","","#","Ave","A","","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","",""
"Senior","","3","***","","","","","","","","","","","100.0",".",".",".",".",".","."
"Undergraduates","","3","***","","","","","","","","","","","100.0",".",".",".",".",".","."
"Prof Yr 1","","358","","",".",".",".",".",".",".",".","92.7","0.3","3.1",".",".",".",".",".","3.9"
"Prof Yr 2","","364","","",".",".",".",".",".",".",".","94.2","1.6","2.2",".",".","1.1",".",".","0.8"
"Prof Yr 3","","328","","",".",".",".",".",".",".",".","96.6",".",".",".",".","1.5",".",".","1.8"
"Prof Yr 4","","120","","",".",".",".",".",".",".",".","97.5",".","2.5",".",".",".",".",".","."
"Professionals","","1170","","",".",".",".",".",".",".",".","94.8","0.6","1.9",".",".","0.8",".",".","2.0"
"","Dept. Total","1173","","",".",".",".",".",".",".",".","94.5","0.6","2.1",".",".","0.8",".",".","2.0"
