"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"Culture and Built Environment
639","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Design Thinking
641","001","","18","3.912","83.3","5.6","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"690","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","143","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","20","3.972","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Design Studies
920","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","7","",".",".",".",".",".",".",".","42.9",".",".",".","57.1",".",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.889","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
