"","990
165","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
168","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
174","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Dissertation","Course Total","61","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"266
COMP SCI","Dept. Total","10901","3.420","43.5","21.3","17.0","6.1","4.3","2.0","0.8","3.2","",".","1.1","0.1","0.2","0.2","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","525","3.341","41.0","24.6","21.5","4.2","3.4","2.5","2.3",".","",".","0.6",".",".",".",".",".","."
"Sophomore","","1925","3.380","39.1","25.4","20.1","6.4","4.2","2.0","1.1",".","",".","1.4","0.1",".","0.3",".",".","0.1"
"Junior","","2911","3.350","38.4","21.9","21.4","8.2","4.8","2.5","0.7",".","",".","1.6","0.2",".","0.3","0.0",".","."
"Senior","","3779","3.398","45.3","20.3","16.5","6.7","5.8","2.2","0.9","0.2","",".","1.1","0.1","0.6","0.2",".",".","0.0"
"Undergraduates","","9140","3.375","41.5","22.1","19.1","7.0","5.0","2.3","0.9","0.1","",".","1.3","0.1","0.2","0.3","0.0",".","0.0"
"Special","","197","3.533","51.3","20.8","15.7","5.1","2.0","1.0","1.0","1.0","",".",".",".",".",".","1.0","1.0","."
"Graduate","","1564","3.765","54.3","16.6","4.9","1.3","0.4","0.3","0.1","21.4","",".","0.1",".","0.1","0.2",".","0.3","."
"","Dept. Total","10901","3.420","43.5","21.3","17.0","6.1","4.3","2.0","0.8","3.2","",".","1.1","0.1","0.2","0.2","0.0","0.1","0.0"
