"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","11","3.920","81.8",".",".",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Mathematics for Economists","700","001","","75","3.640","46.7","36.0","16.0","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","701","001","","34","3.397","29.4","38.2","29.4",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","701","002","","59","3.492","32.2","33.9","33.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics I","","Course Total","","93","3.457","31.2","35.5","32.3",".",".",".","1.1",".",".",".",".",".",".",".",".","."
"Mathematical Economics I","703","001","","32","3.734","56.3","37.5","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","704","001","","73","3.541","39.7","31.5","27.4",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","704","002","","30","3.650","43.3","43.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics I","","Course Total","","103","3.573","40.8","35.0","23.3",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Econometrics II","705","002","","20","3.525","40.0","25.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics III","706","001","","96","3.763","58.3","34.4","6.3",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"Econ Stats & Econometrics I","709","001","","73","3.482","34.2","34.2","28.8",".",".",".","1.4",".",".",".",".",".","1.4",".",".","."
"Thry: Microeconomics Seqnce","711","001","","76","3.446","28.9","30.3","36.8","1.3",".",".",".",".",".",".",".",".","2.6",".",".","."
"Thry: Macroeconomics Seqnce","712","001","","52","3.392","26.9","23.1","48.1",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Econometric Methods","715","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","721","001","","31","3.700","58.1","19.4","19.4",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"","721","002","","44","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Microeconomics","","Course Total","","75","3.703","56.0","26.7","16.0",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"Macroeconomic Policy","736","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","741","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor Economics","750","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","","30","3.741","63.3","16.7","16.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Data Analytics for Economists","770","001","","58","3.767","58.6","36.2","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Economics","848","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv International Economics","871","001","","12","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Economics","880","001","","26","3.880","76.9","15.4","3.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","899","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","005","","37","3.784","56.8","43.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Advances-Economics","","Course Total","","63","3.827","73.0","27.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp in Math Econ Theory","901","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","913","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","955","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","","Page 237 of 478",""
