"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"Radiation Physics & Dosimetry
501","002","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cell Mol & Radiat Biol
510","001","","25","3.480","28.0","40.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Phys and Bio Effects
569","001","","18","3.528","38.9","38.9","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Math Methods Medical Physics
573","001","","21","3.643","47.6","33.3","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab for Med Imag w Ionizng Rad
581","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microscopy of Life
619","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Neuroimaging Methods
651","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rad Lab - Health Physics
664","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rad Lab:CT,MRI,&DSA Physics
665","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rad Lab-Med Ultrasound Phys
666","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"671","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"671","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Medical Physics","Course Total","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiation Physics Metrology
679","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics in Medical Physics
701","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women and Leadership
705","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv in Med Magnet Resonance
710","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Radiation Treatment Planng
772","001","","20","3.575","35.0","50.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ultrasound Physics
775","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Learning Ultrason Imag
778","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Journal Club and Seminar","Course Total","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
