"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Quantitative Macro-Econ Analys","965
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Public Economics","968
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","977
001","9","3.818","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"Independent Work","999
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"296
ECON","Dept. Total","6109","3.323","34.7","26.4","21.2","9.9","6.0","0.8","0.4","0.1",".","0.0",".","0.1","0.3","0.0",".","."
