"","440
002","","2","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","440
003","","4","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Topics in LACIS","Course Total","","14","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Directed Study","699
008","","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"525
LACIS","Dept. Total","","41","3.733","70.7","14.6","9.8","",".","2.4","",".","",".","",".","",".",".","",".","",".","",".",".","2.4","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","8","3.795","75.0","12.5","12.5","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","19","3.750","78.9","10.5","5.3","",".","5.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","34","3.704","67.6","17.6","11.8","",".","2.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","6","4.000","83.3",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","16.7","."
"Prof Yr 3","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","41","3.733","70.7","14.6","9.8","",".","2.4","",".","",".","",".","",".",".","",".","",".","",".",".","2.4","."
