"EDU","","","","","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED SCIENCE","Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"503
INTEGSCI","","","","","","","","","","","","","","","","","","","","","","","",""
"503
INTEGSCI","Dept. Total","322","3.932","85.4","4.0","2.2","0.3","",".","",".","0.6","3.4","",".","3.7","0.3","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"503
INTEGSCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","152","3.931","92.8","3.9","2.0","0.7","",".","",".","0.7",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","92","3.931","90.2","6.5","3.3",".","",".","",".",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","27","3.878","92.6",".","3.7",".","",".","",".","3.7",".","",".",".",".","",".","",".",".",".","."
"Senior","","25","3.988","96.0","4.0",".",".","",".","",".",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","296","3.931","92.2","4.4","2.4","0.3","",".","",".","0.7",".","",".",".",".","",".","",".",".",".","."
"Graduate","","26","4.000","7.7",".",".",".","",".","",".",".","42.3","",".","46.2","3.8","",".","",".",".",".","."
"","Dept. Total","322","3.932","85.4","4.0","2.2","0.3","",".","",".","0.6","3.4","",".","3.7","0.3","",".","",".",".",".","."
