"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"REAL EST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","164","3.817","81.7","11.0","1.2","2.4","3.0","0.6",".",".","",".",".","",".",".",".",".",".","."
"Junior","","447","3.612","55.0","23.0","14.5","4.9","1.8","0.4","0.2",".","",".",".","",".",".",".",".",".","."
"Senior","","761","3.640","49.0","32.7","13.5","3.2","1.4","0.1",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","1375","3.656","54.8","27.0","12.4","3.6","1.7","0.3","0.1",".","",".",".","",".",".",".",".",".","."
"Special","","15","3.458","46.7","6.7","13.3",".","13.3",".",".",".","",".",".","",".",".","6.7",".","13.3","."
"Graduate","","414","3.652","52.7","26.1","13.5","1.7","1.7","0.2","0.5","1.9","",".",".","",".","0.7","1.0",".",".","."
"","Dept. Total","1804","3.653","54.3","26.6","12.7","3.2","1.8","0.3","0.2","0.4","",".",".","",".","0.2","0.3",".","0.1","."
