"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"Classical Philosophers","Course Total","","48","3.815","70.8","14.6","10.4",".",".",".",".","2.1",".",".",".",".","2.1",".",".","."
"Language and Meaning
516","001","","24","3.417","33.3","41.7","20.8",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Philos of Natural Sciences
520","001","","21","3.762","76.2","14.3",".","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"541","001","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"541","002","","21","3.857","81.0","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Ethical Theories","Course Total","","44","3.886","84.1","11.4","2.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Ethics
543","001","","26","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philos Concepts-Tch&Learng
545","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers
549","001","","19","3.342","26.3","31.6","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Mind
551","001","","21","3.405","57.1","4.8","9.5","19.0","9.5",".",".",".",".",".",".",".",".",".",".","."
"Metaphysics
560","001","","26","3.761","53.8","30.8",".","3.8",".",".",".","7.7",".",".",".",".","3.8",".",".","."
"562","001","","25","3.761","52.0","36.0","4.0",".",".",".",".","4.0",".",".",".",".","4.0",".",".","."
"562","002","","19","3.474","36.8","42.1","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Metaphysics","Course Total","","44","3.631","45.5","38.6","9.1",".",".","2.3",".","2.3",".",".",".",".","2.3",".",".","."
"Mathematical Logic
571","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study
599","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis
682","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"701","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"701","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"701","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar","Course Total","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"835","001","","7","3.875","42.9","14.3",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"835","002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced History-Philosophy","Course Total","","13","3.850","61.5","7.7","7.7",".",".",".",".",".",".",".",".",".","23.1",".",".","."
"Proseminar in Philosophy
902","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Philosophy
904","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Philosophy of Science
920","001","","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Seminar-Ethics
941","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
