"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"224
CHEM","Dept. Total","7307","3.118","32.8","14.3","22.1","8.9","11.9","3.6","0.8","5.1","0.0",".","",".","0.2","0.1",".","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1292","3.002","23.3","16.6","26.4","13.9","14.3","4.6","0.6",".",".",".","",".",".","0.2",".",".","."
"Sophomore","","2404","3.149","33.2","16.2","23.7","8.9","12.8","4.2","0.9",".",".",".","",".",".",".",".",".","."
"Junior","","1576","3.021","29.8","12.9","25.6","9.6","16.1","4.8","1.1",".",".",".","",".",".","0.1",".",".","."
"Senior","","1115","3.171","37.8","15.0","23.0","9.1","10.6","2.2","1.2",".",".",".","",".","1.0","0.2",".","0.1","."
"Undergraduates","","6387","3.090","31.2","15.3","24.6","10.1","13.5","4.1","0.9",".",".",".","",".","0.2","0.1",".","0.0","."
"Special","","55","3.302","43.6","16.4","20.0","1.8","7.3","1.8","3.6","3.6",".",".","",".",".",".",".","1.8","."
"Graduate","","1078","3.788","55.2","5.8","3.0","0.3","0.5","0.2",".","34.7","0.1",".","",".","0.3",".",".","0.1","."
"","Dept. Total","7520","3.118","34.7","13.9","21.4","8.7","11.6","3.5","0.8","5.0","0.0",".","",".","0.2","0.1",".","0.0","."
