"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Art/Sci of Human Flourishing","120
001","184","3.774","71.2","19.6","5.4","2.7","0.5",".","0.5",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","97","3.268","33.0","33.0","14.4","10.3","2.1","6.2","1.0",".",".",".",".",".",".",".",".","."
"","202
001","299","3.247","32.8","22.7","20.1","14.7","5.4","2.0","1.0","1.0",".",".",".",".",".","0.3",".","."
"","202
002","286","2.832","18.5","19.2","21.7","17.1","11.5","9.8","1.7",".",".",".",".",".",".",".",".","0.3"
"","202
003","302","3.373","42.1","27.2","11.9","10.3","4.6","3.3","0.7",".",".",".",".",".",".",".",".","."
"","202
004","280","3.145","26.4","26.4","21.8","12.5","6.4","5.7","0.4",".",".",".",".",".","0.4",".",".","."
"","202
005","229","3.671","69.9","13.1","7.4","4.4","2.6","1.7","0.4",".",".",".",".",".",".","0.4",".","."
"","202
006","370","3.695","77.6","8.6","4.9","3.5","1.1","2.4","1.6",".",".",".",".",".",".","0.3",".","."
"","202
007","25","3.780","84.0","4.0","4.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1791","3.342","45.8","19.1","14.2","10.2","5.2","4.1","1.0","0.2",".",".",".",".","0.1","0.2",".","0.1"
"","210
001","66","3.379","56.1","13.6","9.1","4.5","12.1","3.0","1.5",".",".",".",".",".",".",".",".","."
"","210
002","59","2.492","15.3","18.6","5.1","18.6","27.1","6.8","8.5",".",".",".",".",".",".",".",".","."
"","210
003","52","2.644","17.3","11.5","17.3","21.2","19.2","11.5","1.9",".",".",".",".",".",".",".",".","."
"","210
004","68","3.118","39.7","19.1","14.7","7.4","8.8","5.9","4.4",".",".",".",".",".",".",".",".","."
"","210
005","65","3.375","49.2","12.3","18.5","6.2","9.2","3.1",".",".",".",".",".",".","1.5",".",".","."
"Basic Stats for Psychology","Course Total","310","3.028","36.8","15.2","12.9","11.0","14.8","5.8","3.2",".",".",".",".",".","0.3",".",".","."
"Social Science Topics in Psych","212
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","70","3.221","47.1","12.9","12.9","11.4","8.6","4.3","2.9",".",".",".",".",".",".",".",".","."
"","225
002","68","3.287","35.3","26.5","17.6","13.2","4.4",".","2.9",".",".",".",".",".",".",".",".","."
"","225
003","67","3.261","38.8","17.9","20.9","10.4","9.0","1.5","1.5",".",".",".",".",".",".",".",".","."
"","225
004","66","3.394","39.4","30.3","13.6","9.1","4.5","3.0",".",".",".",".",".",".",".",".",".","."
"Research Methods","Course Total","271","3.290","40.2","21.8","16.2","11.1","6.6","2.2","1.8",".",".",".",".",".",".",".",".","."
"Issues in Psychology","311
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","28","3.036","25.0","32.1","17.9","10.7","3.6","3.6","7.1",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","380
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Learning in Psychology","399
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychology Law & Social Policy","401
001","186","3.352","34.9","24.2","29.6","4.3","4.8","1.6","0.5",".",".",".",".",".",".",".",".","."
"","405
001","270","2.861","11.1","17.4","30.0","21.5","16.7","2.6","0.4","0.4",".",".",".",".",".",".",".","."
"","405
002","14","3.536","50.0","14.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adult Psychopathology","Course Total","284","2.904","13.0","17.3","29.9","20.8","15.8","2.5","0.4","0.4",".",".",".",".",".",".",".","."
"","414
001","171","3.515","42.1","31.0","18.1","7.6",".","1.2",".",".",".",".",".",".",".",".",".","."
"","414
002","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cognitive Psychology","Course Total","186","3.562","46.2","29.0","16.7","7.0",".","1.1",".",".",".",".",".",".",".",".",".","."
"","449
001","178","3.194","25.8","24.7","24.2","15.2","9.0","1.1",".",".",".",".",".",".",".",".",".","."
"","449
002","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Behavior","Course Total","193","3.258","29.0","25.4","22.3","14.0","8.3","1.0",".",".",".",".",".",".",".",".",".","."
"Social Psychology","456
001","267","3.193","27.7","16.1","37.8","7.5","9.4","1.1","0.4",".",".",".",".",".",".",".",".","."
"Child Development","460
001","187","3.479","51.9","19.3","12.3","10.2","4.8","1.1","0.5",".",".",".",".",".",".",".",".","."
"Cognitive Development","502
001","89","3.281","25.8","25.8","37.1","5.6","4.5",".","1.1",".",".",".",".",".",".",".",".","."
"Depth Topic in Bio Science","505
001","77","3.455","53.2","19.5","9.1","11.7","2.6","2.6","1.3",".",".",".",".",".",".",".",".","."
"Human Emotions:Biology-Culture","508
001","155","3.523","56.1","17.4","11.6","8.4","5.2","0.6","0.6",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 335 of 478",""
