"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Neurobiology","523
001","105","3.257","41.9","16.2","19.0","10.5","7.6","2.9","1.9",".",".",".",".",".",".",".",".","."
"Criminal Mind:Forensics/Scienc","526
001","162","3.935","92.0","4.9",".","1.9","0.6",".",".","0.6",".",".",".",".",".",".",".","."
"Cultural Psychology","528
001","149","3.326","31.5","37.6","16.1","7.4","2.0","4.0","1.3",".",".",".",".",".",".",".",".","."
"Human Factors Engineering","549
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
001","25","3.820","72.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","25","3.840","72.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
004","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
006","24","3.854","79.2","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","601
007","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
008","20","3.425","25.0","55.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","601
009","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
010","29","3.793","86.2","6.9","3.4",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","195","3.828","76.4","18.5","3.6","0.5",".","0.5","0.5",".",".",".",".",".",".",".",".","."
"Intro to Psychotherapy","607
001","25","3.917","84.0","8.0","4.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Design&Anlys-Psych Expermnts I","610
001","45","3.511","51.1","15.6","20.0","11.1","2.2",".",".",".",".",".",".",".",".",".",".","."
"Neuropharmacology","612
001","25","3.880","84.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
007","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
008","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
009","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
010","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
014","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
015","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
017","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
022","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
035","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
039","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
040","14","3.962","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
045","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
047","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
050","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
058","7","3.842","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
061","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
063","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
065","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
072","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
073","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
075","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 336 of 478",""
