"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","100
007","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","18","3.750","66.7","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","16","3.750","68.8","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
011","16","3.750","87.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","100
012","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
014","14","3.607","85.7",".",".","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","100
015","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","16","3.813","81.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
017","16","3.594","62.5","18.8","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","100
019","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
020","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
021","16","3.531","81.3","6.3",".",".",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"","100
022","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","243","3.802","84.4","7.8","2.5","1.2","2.1","0.8","1.2",".",".",".",".",".",".",".",".","."
"","212
001","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","20","3.842","75.0","10.0","10.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","212
004","18","3.778","72.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
005","19","3.579","68.4","21.1",".",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","212
006","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","114","3.832","79.8","12.3","5.3",".","0.9",".","0.9",".",".",".",".",".","0.9",".",".","."
"Science, Media and Society","251
001","246","3.339","40.2","31.3","7.3","9.3","7.3","2.0","2.0",".",".",".",".",".","0.4",".",".","."
"Marketing Comm for Sciences","270
001","68","3.904","85.3","10.3","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","24","3.750","91.7",".",".",".","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","94","3.394","35.1","28.7","21.3","9.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Media for Life Sciences","432
001","82","3.951","92.7","3.7","1.2","1.2",".",".",".","1.2",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","40","3.825","90.0","5.0",".",".","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"Scientific Writing","560
001","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617
002","34","3.941","97.1",".",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","Course Total","44","3.932","93.2","4.5",".",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Risk Communication","625
001","30","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","11","3.455","72.7","9.1",".","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 5 of 478"
