"JOURN AND MASS COMMUNICA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Sports Communication","150","001","117","3.983","97.4","1.7","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media in Multicultrl Amer","162","001","118","3.669","54.2","30.5","11.9","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Mass Comm","176","014","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201","001","277","3.838","80.5","12.6","4.7","1.1",".","0.7","0.4",".",".",".",".",".",".",".",".","."
"Mass Communication Practices","202","001","119","3.651","31.9","66.4","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information for Communication","203","001","118","3.788","62.7","32.2","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","001","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","003","19","3.711","68.4","15.8","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Principles/Practices-Reporting","","Course Total","50","3.800","72.0","20.0","6.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Principles & Pract Strat Comm","345","001","100","3.905","83.0","15.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sports Mrkting Communications","350","001","30","3.724","43.3","53.3",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Intro to Survey Research","373","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Creative Nonfiction","405","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Design","411","001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magazine Publishing","417","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Video Journalism","425","001","13","3.731","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445","002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Campaign Messages","","Course Total","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Account Planning & Strategy","449","001","23","3.848","82.6","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sports Reporting and Writing","450","001","49","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Media Strategies","463","001","24","3.833","87.5",".","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","475","049","22","3.886","86.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","050","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","","Course Total","36","3.931","91.7","2.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of U.S. Media","560","001","90","3.800","66.7","17.8","10.0",".",".",".",".","2.2",".",".",".",".","2.2",".","1.1","."
"Law of Mass Communication","563","001","98","3.546","40.8","32.7","22.4","3.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565","001","97","3.959","92.8","6.2","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium Prof Comm Careers","601","001","99","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","617","001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617","002","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","","Course Total","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Comm & Political Behav","618","001","21","3.762","57.1","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Impact of Emerging Media","622","001","24","3.708","66.7","16.7","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Comm Sports Controversies","651","001","46","3.543","19.6","69.6","10.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658","001","24","3.646","33.3","62.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669","001","24","3.783","58.3","33.3","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Topics-Govt & Mass Media","675","005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 280 of 478",""
