"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
005","98","3.168","22.4","22.4","39.8","5.1","8.2",".","2.0",".",".",".",".",".",".",".",".","."
"","300
006","128","3.180","25.0","23.4","32.0","6.3","10.9","2.3",".",".",".",".",".",".",".",".",".","."
"","300
007","117","3.222","22.2","25.6","41.0","3.4","4.3","3.4",".",".",".",".",".",".",".",".",".","."
"","300
008","108","3.199","19.4","38.0","27.8","5.6","3.7","4.6","0.9",".",".",".",".",".",".",".",".","."
"Operations & Supply Chain Mgmt","Course Total","451","3.193","22.4","27.3","35.0","5.1","6.9","2.7","0.7",".",".",".",".",".",".",".",".","."
"Business Process Improvement","351
001","37","3.662","73.0","10.8","5.4","2.7","5.4","2.7",".",".",".",".",".",".",".",".",".","."
"","421
001","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","10","3.700","70.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","421
100","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","24","3.729","75.0","4.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","18","3.722","66.7","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Supply Chain Capital Mgt","428
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","451
001","32","3.172","21.9","25.0","31.3","9.4","12.5",".",".",".",".",".",".",".",".",".",".","."
"","451
002","23","3.674","52.2","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","Course Total","55","3.382","34.5","29.1","21.8","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"","452
001","50","3.740","58.0","34.0","6.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","452
002","45","3.822","64.4","35.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","95","3.779","61.1","34.7","3.2","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"","700
020","42","3.536","33.3","45.2","19.0",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","700
021","43","3.372","16.3","51.2","25.6","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"","700
040","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","60","3.867","76.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
051","35","3.714","51.4","40.0","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations & Supply Chain Mgmt","Course Total","200","3.678","52.5","33.5","12.0","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Product Management","701
050","50","3.780","64.0","32.0","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Strategy","726
001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Capital Mgt","728
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","752
001","43","3.570","34.9","46.5","16.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","752
010","55","3.655","60.0","23.6","10.9","1.8","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"","752
011","44","3.636","61.4","22.7","6.8","4.5","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","142","3.603","52.8","30.3","11.3","2.8","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Healthcare Ops Mgt","753
055","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing by Design","760
050","50","3.520","40.0","32.0","22.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"TSPM Applied Learning","777
001","23","3.870","82.6","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
144","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 66 of 478"
