"ATMOSPHERIC & OCEANIC SCIE Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"","100","001","","164","3.312","38.4","25.6","12.8","11.0","3.7","0.6","3.7","3.7",".",".",".",".",".","0.6",".","."
"","100","002","","112","3.203","26.8","34.8","17.9","7.1","6.3","4.5","1.8",".",".",".",".",".","0.9",".",".","."
"Weather and Climate","","Course Total","","276","3.267","33.7","29.3","14.9","9.4","4.7","2.2","2.9","2.2",".",".",".",".","0.4","0.4",".","."
"Weather and Climate","101","001","","63","3.468","55.6","20.6","11.1","3.2","3.2","4.8","1.6",".",".",".",".",".",".",".",".","."
"Climate and Climate Change","102","001","","65","3.270","16.9","30.8","16.9","4.6","6.2","1.5",".","23.1",".",".",".",".",".",".",".","."
"Natural Hazards and Disasters","140","001","","71","3.507","52.1","19.7","12.7","8.5","7.0",".",".",".",".",".",".",".",".",".",".","."
"Dynamics-Atmosphere&Ocean I","310","001","","17","3.382","47.1","23.5","11.8","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean I","330","001","","18","3.861","83.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","","35","3.558","34.3","17.1","20.0","2.9",".",".",".","25.7",".",".",".",".",".",".",".","."
"Past Climatic Environments","335","001","","6","3.250","16.7","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Meteorological Measurements","404","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radar & Satellite Meteorology","441","001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab I:Frontal Cyclone","452","001","","19","3.237","36.8","10.5","15.8","36.8",".",".",".",".",".",".",".",".",".",".",".","."
"Tropical Meteorology","522","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biophysics","532","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Methods in AOS","573","001","","19","3.684","63.2","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics I","610","001","","26","3.580","42.3","26.9","26.9",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Intro to Atm & Ocn Physics","630","001","","22","3.690","59.1","22.7","9.1",".","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"Intro-Physical Oceanography","660","001","","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution Chemistry","701","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Oceanography","750","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Frontal Cyclone","751","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Theoretical Meteor","801","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Foundations of ATM OCN SCI","901","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advances in ATM OCN SCI","903","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology & Marine Sci Seminar","911","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
