"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","Dept. Total","","77","3.870","40.3","1.3","3.9","",".","",".","",".","",".","46.8","",".",".","",".","7.8","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","","6","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","","11","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","18","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","58","3.738","22.4","1.7","5.2","",".","",".","",".","",".","60.3","",".",".","",".","10.3","",".",".",".","."
"Prof Yr 3","","","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"","Dept. Total","","77","3.870","40.3","1.3","3.9","",".","",".","",".","",".","46.8","",".",".","",".","7.8","",".",".",".","."
