"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"BSE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","41","3.279","39.0","19.5","19.5","7.3","12.2","2.4",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","80","3.266","36.3","21.3","22.5","7.5","8.8","2.5","1.3",".","",".",".","",".",".","",".",".",".","."
"Senior","","223","3.524","50.7","22.9","14.8","5.8","3.6","1.3","0.4",".","",".",".","",".",".","",".","0.4",".","."
"Undergraduates","","345","3.434","45.8","22.3","17.1","6.4","5.8","1.7","0.6",".","",".",".","",".",".","",".","0.3",".","."
"Special","","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","61","3.840","37.7",".","1.6",".","1.6",".",".","32.8","",".",".","",".","26.2","",".",".",".","."
"","Dept. Total","407","3.455","44.7","18.9","14.7","5.4","5.2","1.5","0.5","4.9","",".",".","",".","3.9","",".","0.2",".","."
