"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","Dept. Total","3870","3.230","31.9","19.7","22.0","11.1","7.0","1.0","0.3","5.1","",".",".","",".","1.5","0.3","0.0","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","107","3.634","65.4","14.0","11.2","5.6","2.8",".",".",".","",".",".","",".",".",".",".",".","0.9"
"Sophomore","","699","3.188","36.1","18.9","20.7","12.2","9.2","1.1","1.0",".","",".",".","",".",".","0.7",".",".","0.1"
"Junior","","1246","3.160","27.1","22.0","26.2","14.7","8.1","1.1","0.2","0.1","",".",".","",".",".","0.3",".",".","0.1"
"Senior","","1178","3.230","32.9","20.9","23.8","12.1","8.0","1.2","0.1","0.3","",".",".","",".","0.4","0.2","0.1","0.1","."
"Undergraduates","","3230","3.204","32.4","20.7","23.7","12.9","8.1","1.1","0.3","0.1","",".",".","",".","0.2","0.3","0.0","0.0","0.1"
"Special","","44","3.282","36.4","9.1","20.5","9.1","4.5","2.3",".","18.2","",".",".","",".",".",".",".",".","."
"Graduate","","596","3.562","28.7","15.4","13.3","1.3","1.0",".",".","31.0","",".",".","",".","8.9",".",".","0.2","0.2"
"","Dept. Total","3870","3.230","31.9","19.7","22.0","11.1","7.0","1.0","0.3","5.1","",".",".","",".","1.5","0.3","0.0","0.1","0.1"
