"Summary by Level","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","4.000","100.0","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","20","4.000","95.0","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","5.0","."
"Senior","","35","3.958","97.1","",".","2.9","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","61","3.974","96.7","",".","1.6","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","1.6","."
"Special","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","23","3.750","13.0","",".","4.3","",".","",".","",".","",".","82.6","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
