"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100
001","89","3.810","75.3","13.5","4.5","3.4","1.1",".",".","1.1",".",".",".",".",".",".","1.1","."
"Intro African Lit","201
001","22","3.659","77.3","4.5","4.5","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"","202
002","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro African Cultural Studies","Course Total","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","22","3.750","54.5","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","20","3.650","70.0",".","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro Topics in African Lit","Course Total","42","3.702","61.9","21.4","14.3",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Intro Topics African Languages","204
001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","15","3.233","60.0","13.3",".","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"","210
002","17","3.471","52.9","11.8","11.8","23.5",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","18","3.139","44.4","11.1",".","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","210
004","17","3.344","58.8","11.8","5.9","5.9",".","5.9","5.9",".",".",".",".",".","5.9",".",".","."
"","210
005","17","3.559","52.9","23.5","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","210
006","17","3.618","82.4",".","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","210
007","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
008","22","3.591","31.8","54.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","137","3.467","55.5","19.0","8.0","9.5","2.9","2.2","2.2",".",".",".",".",".","0.7",".",".","."
"Intro to Afr Pop Culture","212
001","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","11","3.500","45.5","45.5",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"African Lit in Translation","300
001","12","3.909","75.0","16.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Arabic Lit & Cinema","302
001","12","3.667","75.0","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"African Lit and Visual Culture","303
001","20","3.400","30.0","40.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Soccer in Africa","304
001","20","3.850","85.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","16","3.833","68.8","18.8","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","321
002","22","3.477","68.2","4.5","9.1","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","38","3.622","68.4","10.5","7.9","5.3","2.6",".","2.6","2.6",".",".",".",".",".",".",".","."
"","323
001","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","323
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Arabic","Course Total","8","3.375","37.5","25.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Arabic","329
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Swahili","331
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem-Lang-South Africa","335
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yoruba","Course Total","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","373
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","373
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Yoruba","Course Total","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
