"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","245","2.689","20.0","12.2","22.0","6.5","26.9","8.6","3.3",".",".",".",".",".","0.4",".",".","."
"","101
002","240","2.650","17.5","11.7","23.8","7.5","27.9","8.3","3.3",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","485","2.669","18.8","12.0","22.9","7.0","27.4","8.5","3.3",".",".",".",".",".","0.2",".",".","."
"","102
001","15","2.900","26.7","13.3","20.0","6.7","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"","102
002","15","2.867","26.7",".","20.0","26.7","26.7",".",".",".",".",".",".",".",".",".",".","."
"","102
003","15","3.000","20.0",".","46.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
004","10","2.700","10.0","10.0","40.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"","102
005","19","3.237","42.1","15.8","21.1",".","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"","102
006","10","3.300","40.0","30.0",".","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","102
007","13","3.192","30.8","30.8","15.4","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","102
008","15","3.367","26.7","33.3","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
009","15","3.400","26.7","40.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
010","13","3.000","23.1","30.8","7.7",".","38.5",".",".",".",".",".",".",".",".",".",".","."
"","102
011","17","3.118","29.4",".","47.1","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","102
013","14","3.286","21.4","21.4","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","17","3.029","11.8","29.4","35.3","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","188","3.114","26.1","19.1","28.7","9.0","14.4","2.7",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","38","2.711","7.9","10.5","34.2","21.1","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"","151
001","292","3.168","28.4","15.8","35.3","5.5","12.7","2.1",".",".",".",".",".",".","0.3",".",".","."
"","151
002","319","3.039","24.8","9.7","38.9","9.4","13.5","2.8","0.6",".",".",".",".",".","0.3",".",".","."
"Introductory Biology","Course Total","611","3.101","26.5","12.6","37.2","7.5","13.1","2.5","0.3",".",".",".",".",".","0.3",".",".","."
"Introductory Biology","152
001","420","3.380","41.9","14.5","31.0","5.7","5.7","1.0","0.2",".",".",".",".",".",".",".",".","."
"Directed Studies","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","522
001","9","3.611","77.8","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","522
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Communicating Evolutionary Bio","Course Total","12","3.685","75.0","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","681
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
