"ASIAN LANG & CULTURE: LANG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.711","60.0","15.0","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","101
002","21","3.643","81.0",".","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","101
003","20","3.775","75.0","15.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","19","3.447","52.6","15.8","10.5","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"First Semester Chinese","Course Total","80","3.646","67.5","11.3","10.0","6.3","2.5",".","1.3","1.3",".",".",".",".",".",".",".","."
"","103
002","21","3.333","42.9","23.8","14.3","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","103
004","16","3.567","43.8","31.3","12.5",".","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"","103
005","12","3.625","58.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","103
006","18","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","103
007","17","3.176","47.1","11.8","5.9","23.5","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","103
008","18","3.472","61.1","16.7","5.6",".","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","Course Total","102","3.441","51.0","19.6","11.8","6.9","6.9","2.0","1.0",".",".",".",".",".","1.0",".",".","."
"","105
001","18","3.529","66.7","5.6","5.6","5.6","5.6","5.6",".","5.6",".",".",".",".",".",".",".","."
"","105
002","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","105
005","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Korean","Course Total","66","3.715","69.7","16.7","4.5","3.0","3.0","1.5",".","1.5",".",".",".",".",".",".",".","."
"2nd Sem Elementary Japanese","114
001","15","3.667","60.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","123
001","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","123
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","123
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Filipino","Course Total","10","3.400","80.0",".",".",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"First Semester Hmong","125
001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Indonesian","127
001","12","2.917","25.0","16.7","16.7",".","41.7",".",".",".",".",".",".",".",".",".",".","."
"","129
001","11","3.318","27.3","27.3","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","129
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Thai","Course Total","14","3.321","21.4","35.7","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Vietnamese","131
001","11","3.682","81.8","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"First Semester Hindi","133
001","19","3.944","84.2","10.5",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"First Semester Modern Tibetan","135
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Persian","137
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Urdu","139
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","18","3.833","77.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","22","3.705","77.3","13.6","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","201
003","19","3.711","63.2","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","Course Total","59","3.746","72.9","18.6","3.4","1.7","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"","203
001","17","3.265","41.2","17.6","11.8","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"","203
002","19","3.447","36.8","36.8","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","203
003","18","3.528","50.0","33.3","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
