"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"","409
001","","14","3.786","92.9",".",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","409
002","","13","3.769","76.9",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","409
003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Poetry","Course Total","","41","3.854","90.2",".","7.3",".",".","2.4",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Playwriting","410
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","411
001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Words: Grammar, Culture, Mind","413
001","","16","3.867","75.0","12.5","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Introduction to TESOL Methods","415
001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","","17","3.765","76.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","420
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","Course Total","","22","3.818","81.8","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","431
001","","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","431
002","","27","3.630","63.0","18.5","11.1","3.7",".","3.7",".",".",".",".",".",".",".",".",".","."
"Early Works of Shakespeare","Course Total","","55","3.791","76.4","14.5","5.5","1.8",".","1.8",".",".",".",".",".",".",".",".",".","."
"Outstanding Figure(s) in Lit","443
001","","27","3.846","66.7","29.6",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Topic in American Lit","457
001","","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","461
001","","26","3.808","80.8","7.7","7.7",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Topic in Asian American Lit","462
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
001","","30","3.690","53.3","33.3","3.3","6.7",".",".",".","3.3",".",".",".",".",".",".",".","."
"","474
002","","29","3.500","34.5","55.2","3.4","3.4",".",".","3.4",".",".",".",".",".",".",".",".","."
"Topic in Contemporary Lit","Course Total","","59","3.595","44.1","44.1","3.4","5.1",".",".","1.7","1.7",".",".",".",".",".",".",".","."
"Topics-Composition & Rhetoric","505
001","","28","3.393","60.7","14.3","7.1","7.1","3.6",".","7.1",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","515
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Lit and Environment","533
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Discourses Disability to 1800","543
001","","24","3.500","50.0","16.7","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","559
002","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","559
003","","28","3.625","57.1","10.7","32.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Theory","Course Total","","44","3.739","68.2","11.4","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Postcolonial Theatre","577
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","695
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695
003","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Directed Creative Writing","Course Total","","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","699
071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
