"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"Hist:The Univ in the West","107
001","16","3.469","37.5","31.3","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Global Education through Film","112
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education, Tech, and Society","123
001","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","140
001","49","3.847","81.6","10.2","4.1","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"","140
002","49","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","140
003","44","3.898","84.1","13.6",".","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Education","Course Total","142","3.891","83.8","12.7","1.4","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"History of Race and Inequality","143
001","11","3.545","54.5","27.3",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","150
001","29","3.948","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
008","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
009","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","Course Total","102","3.945","93.1","4.9","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Sexuality & Ed Policy","160
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Listening to the Land","197
001","15","3.692","80.0",".",".",".",".",".","6.7",".",".",".",".",".","13.3",".",".","."
"","200
001","49","3.663","46.9","40.8","10.2","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","200
002","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Race,Ethnicty&Inequal-Am Ed","Course Total","79","3.788","65.8","25.3","6.3","1.3",".",".",".",".",".",".",".",".","1.3",".",".","."
"Careers in Education","202
001","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Ed, Arts, Health","203
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Quant Methods in Ed Pol","209
001","60","3.958","93.3","5.0","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","48","3.927","87.5","10.4","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","48","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Youth, Education, and Society","Course Total","160","3.947","94.4","4.4","0.6",".",".",".","0.6",".",".",".",".",".",".",".",".","."
"","212
002","30","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Education for Social Justice","Course Total","59","3.957","91.5","5.1","1.7",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"","220
001","22","3.364","50.0","13.6","18.2","13.6",".",".","4.5",".",".",".",".",".",".",".",".","."
"","220
002","21","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
003","26","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Rights and Education","Course Total","69","3.652","62.3","18.8","13.0","4.3",".",".","1.4",".",".",".",".",".",".",".",".","."
"Wealth, Poverty and Inequality","237
001","28","3.571","46.4","32.1","14.3","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","240
001","40","3.800","80.0","15.0","2.5",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"","240
002","48","3.740","77.1","10.4","8.3",".","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Comparative Education","Course Total","88","3.767","78.4","12.5","5.7",".","1.1",".","2.3",".",".",".",".",".",".",".",".","."
"Education in East Asia","245
001","17","3.618","64.7","17.6","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"International Educational Dev","260
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 98 of 478",""
