"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","",""
"EGR","College Total","15809","3.539","50.9","18.9","12.9","5.0","2.9","0.7","0.4","5.9","0.1","1.1","",".","1.1","0.2","0.1","0.0","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"EGR","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","464","3.681","74.8","12.5","6.5","2.6","1.9","0.9","0.9",".",".",".","",".",".",".",".",".","."
"Sophomore","","1569","3.494","62.8","14.5","11.2","5.5","3.6","1.2","0.6",".",".",".","",".",".","0.2","0.4",".","."
"Junior","","3489","3.416","48.1","22.0","16.2","7.4","4.6","1.1","0.3",".",".","0.1","",".",".","0.1","0.3",".","."
"Senior","","6824","3.537","53.2","21.4","15.2","5.3","2.8","0.7","0.4","0.0",".","0.5","",".",".","0.2","0.0","0.0","."
"Undergraduates","","12346","3.503","53.8","20.4","14.7","5.8","3.4","0.9","0.4","0.0",".","0.3","",".",".","0.2","0.1","0.0","."
"Special","","182","3.511","53.3","17.0","10.4","6.6","4.9","1.1","0.5","3.3",".","0.5","",".",".","0.5","1.1","0.5","."
"Graduate","","3798","3.727","45.9","11.7","5.5","1.3","0.8","0.1","0.2","25.9","0.3","3.7","",".","4.4","0.2",".","0.1","."
"Prof Yr 2","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","4","***","","","","","","","","","",".","",".","25.0",".",".",".","."
"Professionals","","5","",".",".",".",".",".",".",".","80.0",".",".","",".","20.0",".",".",".","."
"","College Total","16331","3.539","51.9","18.3","12.5","4.8","2.8","0.7","0.3","6.1","0.1","1.1","",".","1.0","0.2","0.1","0.0","."
