"URBAN AND REGIONAL PLANNI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"Introduction to the City
305","001","","51","3.833","84.3","3.9","7.8","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"306","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"306","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research
373","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Gentrification & Urb Restruct
512","002","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl
590","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Site Planning
601","001","","22","3.705","40.9","59.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Planning Analysis
721","001","","22","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Planning Orientation Seminar
742","001","","23","4.000","91.3",".",".",".",".",".",".","4.3",".",".",".",".","4.3",".",".","."
"Intro to Financial Planning
751","001","","20","4.000","90.0",".",".",".",".",".",".","5.0",".",".",".",".","5.0",".",".","."
"Intro-Energy Analysis & Policy
809","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Water Resrce Inst&Policies
865","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Planning Workshop
912","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Political Sociology
924","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","5","***","","","","","","","","","","","","","","","",""
