"AFRICAN CULTURAL STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","","",""
"1st Sem-Lang of West Africa","391","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem-Lang of West Africa","393","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Swahili","435","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Methods LCTL Learning","670","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Multilanguage Seminar","671","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Directed Study","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading&Writing Afri Cultr Std","700","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching African Languages","703","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem in ACS: Tpcs","905","001","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","11","",".",".",".",".",".",".",".","81.8",".",".",".","18.2",".",".",".","."
