"MANAGEMENT AND HUMAN RES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","",""
"Strategic Talent Management","611","100","","25","3.300","16.0","48.0","20.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612","001","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628","001","","36","3.708","52.8","36.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628","002","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628","100","","21","3.690","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","","Course Total","","87","3.799","69.0","21.8","9.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Arts Entrepreneurship","632","001","","33","3.485","30.3","36.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Destruction Lab I","640","001","","28","3.732","71.4","14.3","7.1","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Leading People and Orgs","700","040","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706","020","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706","021","","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leading and Working in Teams","","Course Total","","85","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Mgmt of Innovation","715","050","","50","3.650","64.0","18.0","12.0",".","4.0","2.0",".",".",".",".",".",".",".",".",".","."
"Leading Change in Orgs","720","051","","37","3.851","73.0","24.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722","001","","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728","001","","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","734","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Fellowship Seminar","739","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","741","001","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprofit Governance & Boards","744","001","","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev for Arts Leadership","750","001","","19","3.684","52.6","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","773","001","","23","3.457","26.1","39.1","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Learn in Hum Res Mgmt","775","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Personnel Management","871","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","228","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","","Course Total","","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","999","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
