"Senior Honors Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","","","","",""
"","682
002","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","682
003","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","Dept. Total","231","3.875","89.2","1.3","4.3","0.9","1.3","",".","0.9","",".","",".",".","",".","2.2","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","106","3.849","88.7","1.9","5.7","1.9","0.9","",".","0.9","",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","80","3.938","97.5",".","1.3",".",".","",".","1.3","",".","",".",".","",".",".","",".",".",".","."
"Junior","","16","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","29","3.712","62.1","3.4","10.3",".","6.9","",".",".","",".","",".",".","",".","17.2","",".",".",".","."
"Undergraduates","","231","3.875","89.2","1.3","4.3","0.9","1.3","",".","0.9","",".","",".",".","",".","2.2","",".",".",".","."
"","Dept. Total","231","3.875","89.2","1.3","4.3","0.9","1.3","",".","0.9","",".","",".",".","",".","2.2","",".",".",".","."
