"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Jazz in 20th-Century America","102
001","532","3.693","72.6","10.9","6.6","2.4","3.8","1.3","0.8","1.7",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","159","3.346","56.0","7.5","18.9","2.5","8.8","3.8","2.5",".",".",".",".",".",".",".",".","."
"Music & Film","107
001","26","3.308","23.1","42.3","26.9","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"","113
001","640","3.786","83.8","6.4","2.2","3.9","1.7","0.8","1.1","0.2",".",".",".",".",".",".",".","."
"","113
002","645","3.905","91.5","3.6","1.6","0.9","0.6","0.3","0.6","0.3",".",".",".",".",".",".","0.6","."
"","113
003","527","3.774","89.2","0.8","3.8","0.4","2.1","0.8","2.8",".",".",".",".",".","0.2",".",".","."
"Music in Performance","Course Total","1812","3.825","88.1","3.8","2.4","1.8","1.4","0.6","1.4","0.2",".",".",".",".","0.1",".","0.2","."
"","121
001","35","3.857","85.7","5.7","5.7",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","121
002","57","3.816","77.2","10.5","10.5","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","92","3.832","80.4","8.7","8.7","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"","151
001","38","3.882","89.5","5.3",".","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","151
002","63","3.400","41.3","30.2","9.5","7.9","1.6","1.6","3.2",".",".",".",".",".",".",".","4.8","."
"","151
003","18","3.806","88.9","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","119","3.621","63.9","18.5","5.0","5.0","1.7","1.7","1.7",".",".",".",".",".",".",".","2.5","."
"","171
101","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
102","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","19","3.868","89.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","171
105","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","92","3.870","81.5","13.0","4.3",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","211
001","41","3.667","73.2","7.3","4.9","2.4","2.4","4.9",".","2.4",".",".",".",".","2.4",".",".","."
"","221
001","34","3.735","76.5","11.8","5.9",".","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","221
002","20","3.775","70.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","54","3.750","74.1","13.0","9.3",".","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Conducting","253
002","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"University Opera","256
060","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
060","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
001","14","3.857","92.9",".",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","260
003","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Hand Drumming Ensemble","Course Total","27","3.889","92.6",".","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","262
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
064","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
090","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
101","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
150","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
196","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
049","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
058","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
