"FOOD SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"Fermented Food and Beverages","150","001","","47","3.779","78.7","4.3","2.1","2.1","2.1",".","2.1",".",".",".",".",".",".",".","8.5","."
"Independent Study","299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Sci & Technol of Food","301","001","","28","2.804","17.9","21.4","14.3","17.9","17.9","10.7",".",".",".",".",".",".",".",".",".","."
"","324","003","","9","3.333","33.3","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","14","3.429","42.9","21.4","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","","Course Total","","23","3.391","39.1","21.7","17.4","21.7",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325","001","","29","3.259","37.9","10.3","34.5","6.9","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"Dairy Products Evaluation","330","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Food Chemistry","410","001","","25","2.700","12.0","4.0","40.0","24.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Food Service Operations","437","002","","46","3.902","84.8","10.9","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Food Engr","440","001","","22","2.545","4.5","18.2","27.3","18.2","13.6","18.2",".",".",".",".",".",".",".",".",".","."
"Integrated Food Manufacturing","532","001","","17","3.147","23.5","23.5","23.5","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"Confectionery Science&Technlgy","535","001","","12","3.333","25.0","16.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Fermentation Laboratory","551","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Project","602","001","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Biochem","711","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar Advanced","900","001","","29","3.845","82.8","3.4","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","38","",".",".",".",".",".",".",".","78.9",".",".",".","21.1",".",".",".","."
