"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","101
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Chem I Laboratory","Course Total","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001","337","2.892","23.7","13.4","25.5","12.5","15.4","8.9","0.6",".",".",".",".",".",".",".",".","."
"","103
002","292","3.017","27.1","13.0","27.4","13.7","13.4","3.8","1.4",".",".",".",".",".",".",".","0.3","."
"","103
003","331","2.992","24.5","15.1","25.7","12.4","18.4","3.6","0.3",".",".",".",".",".",".",".",".","."
"","103
004","289","3.217","38.1","15.6","19.4","10.7","11.8","3.1","0.3",".",".",".",".",".","1.0",".",".","."
"","103
005","289","2.974","27.7","16.3","25.6","7.6","12.5","9.0","1.4",".",".",".",".",".",".",".",".","."
"","103
007","332","3.038","28.0","14.2","25.9","12.7","13.6","5.7",".",".",".",".",".",".",".",".",".","."
"","103
008","283","2.926","24.7","13.8","26.9","11.0","14.5","8.5","0.7",".",".",".",".",".",".",".",".","."
"General Chemistry I","Course Total","2153","3.006","27.5","14.4","25.2","11.6","14.3","6.1","0.7",".",".",".",".",".","0.1",".","0.0","."
"","104
001","339","2.985","24.2","15.9","25.7","13.6","15.3","4.4","0.9",".",".",".",".",".",".",".",".","."
"","104
002","309","3.026","27.2","12.9","29.1","10.4","15.2","4.9","0.3",".",".",".",".",".",".",".",".","."
"General Chemistry II","Course Total","648","3.005","25.6","14.5","27.3","12.0","15.3","4.6","0.6",".",".",".",".",".",".",".",".","."
"","109
001","332","3.346","38.6","24.4","18.4","9.9","6.9","1.2","0.6",".",".",".",".",".",".",".",".","."
"","109
002","316","3.358","42.4","21.2","19.0","8.5","5.4","2.8","0.6",".",".",".",".",".",".",".",".","."
"","109
003","60","3.825","73.3","20.0","5.0","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced General Chemistry","Course Total","708","3.392","43.2","22.6","17.5","8.6","5.6","1.8","0.6",".",".",".",".",".",".",".",".","."
"Chemical Principles I","115
001","30","3.650","60.0","16.7","16.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Topics in Chemistry","175
001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entering Research I","260
001","7","3.571","71.4",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","299
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
167","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Chem Across the Periodic Table","311
001","30","2.917","16.7","10.0","30.0","26.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","327
001","88","3.155","33.0","25.0","17.0","10.2","5.7","4.5","3.4",".",".",".",".",".","1.1",".",".","."
"Fundamentals of Analytical Sci","329
001","95","3.289","29.5","30.5","23.2","10.5","3.2","2.1","1.1",".",".",".",".",".",".",".",".","."
"Elementary Organic Chemistry","341
001","164","2.882","23.8","8.5","24.4","4.9","36.0","0.6",".","0.6",".",".",".",".","1.2",".",".","."
"","343
001","201","2.858","25.4","13.9","24.9","4.5","21.4","7.0","3.0",".",".",".",".",".",".",".",".","."
"","343
002","227","2.936","25.6","11.0","27.3","12.3","18.1","4.0","1.8",".",".",".",".",".",".",".",".","."
"","343
003","195","2.797","20.5","16.4","22.6","7.7","23.6","6.2","3.1",".",".",".",".",".",".",".",".","."
"","343
004","42","3.524","42.9","31.0","21.4","2.4",".","2.4",".",".",".",".",".",".",".",".",".","."
"","343
005","196","2.890","26.5","13.8","23.0","8.2","19.4","6.6","2.6",".",".",".",".",".",".",".",".","."
"","343
006","202","2.978","26.7","9.4","33.2","6.9","19.3","2.5","2.0",".",".",".",".",".",".",".",".","."
"Organic Chemistry I","Course Total","1063","2.919","25.7","13.5","26.1","7.8","19.5","5.1","2.4",".",".",".",".",".",".",".",".","."
