"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","77","2.413","11.7","15.6","14.3","7.8","29.9","11.7","6.5",".",".",".",".",".","1.3",".","1.3","."
"","101
002","83","2.705","18.1","14.5","27.7","6.0","18.1","13.3","2.4",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","160","2.566","15.0","15.0","21.3","6.9","23.8","12.5","4.4",".",".",".",".",".","0.6",".","0.6","."
"","102
001","8","2.625","12.5","12.5","12.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".","."
"","102
002","6","3.083","33.3","33.3",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"","102
003","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
004","12","3.208","41.7","16.7","16.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","102
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
006","12","3.125","33.3","8.3","41.7",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","102
007","9","3.000","11.1","22.2","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
008","8","3.000","12.5","25.0","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
009","6","3.250","33.3","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
010","9","3.111","44.4","11.1","11.1","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","102
011","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","9","2.556",".",".","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".","."
"","102
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","99","3.010","25.3","15.2","24.2","15.2","16.2","4.0",".",".",".",".",".",".",".",".",".","."
"","151
001","58","3.035","27.6","12.1","34.5","5.2","13.8","1.7","3.4",".",".",".",".",".","1.7",".",".","."
"","151
002","56","3.018","26.8","12.5","32.1","8.9","14.3","3.6","1.8",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","114","3.027","27.2","12.3","33.3","7.0","14.0","2.6","2.6",".",".",".",".",".","0.9",".",".","."
"Introductory Biology","152
001","104","3.240","34.6","15.4","31.7","5.8","9.6","2.9",".",".",".",".",".",".",".",".",".","."
"","153
001","18","2.806","22.2","5.6","27.8","11.1","27.8","5.6",".",".",".",".",".",".",".",".",".","."
"","153
002","38","2.605","15.8","2.6","39.5","7.9","15.8","18.4",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","56","2.670","17.9","3.6","35.7","8.9","19.6","14.3",".",".",".",".",".",".",".",".",".","."
"","200
001","14","3.821","85.7",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","200
002","17","3.765","82.4","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biology","Course Total","31","3.790","83.9","3.2","3.2","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","55","3.802","78.2","3.6","9.1","5.5",".",".",".",".",".",".",".",".","1.8","1.8",".","."
"Biology of the Dinosaurs","275
001","59","3.224","39.0","18.6","18.6","8.5","8.5","1.7","3.4","1.7",".",".",".",".",".",".",".","."
"","299
018","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","10","3.947","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","11","3.500","45.5","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Aquatic Invertebrate Biology","303
001","47","3.734","66.0","19.1","10.6","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","56","3.531","48.2","8.9","23.2","1.8","5.4",".",".",".",".",".",".",".",".",".","12.5","."
"","316
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
003","20","3.900","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","47","3.936","91.5","6.4",".","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360
001","98","3.464","43.9","28.6","17.3","3.1","5.1","1.0","1.0",".",".",".",".",".",".",".",".","."
