"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","200
001","94","",".",".",".",".",".",".",".","1.1",".","97.9","1.1",".",".",".",".","."
"","200
002","97","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Finance Industry Fundamentals","Course Total","191","",".",".",".",".",".",".",".","0.5",".","99.0","0.5",".",".",".",".","."
"","205
001","61","",".",".",".",".",".",".",".",".",".","98.4","1.6",".",".",".",".","."
"","205
002","61","",".",".",".",".",".",".",".",".",".","95.1","4.9",".",".",".",".","."
"Financial Modeling in Excel","Course Total","122","",".",".",".",".",".",".",".",".",".","96.7","3.3",".",".",".",".","."
"","300
001","85","3.124","15.3","22.4","50.6","4.7","4.7",".","2.4",".",".",".",".",".",".",".",".","."
"","300
002","190","3.228","17.4","30.0","40.0","4.7","7.4",".",".",".",".",".",".",".","0.5",".",".","."
"","300
003","112","3.116","35.7","17.9","16.1","12.5","9.8","7.1","0.9",".",".",".",".",".",".",".",".","."
"","300
004","114","3.259","36.8","23.7","19.3","8.8","4.4","7.0",".",".",".",".",".",".",".",".",".","."
"","300
100","26","3.846","73.1","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","527","3.224","27.9","24.5","30.4","7.0","6.5","3.0","0.6",".",".",".",".",".","0.2",".",".","."
"","305
001","58","3.457","39.7","27.6","24.1","5.2","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"","305
002","59","3.559","44.1","30.5","18.6","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","60","3.575","38.3","43.3","13.3","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","51","3.245","39.2","21.6","15.7","7.8","9.8","5.9",".",".",".",".",".",".",".",".",".","."
"","305
005","58","3.465","50.0","19.0","12.1","10.3","5.2","1.7",".","1.7",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","286","3.467","42.3","28.7","16.8","7.0","3.1","1.7",".","0.3",".",".",".",".",".",".",".","."
"","320
001","52","3.500","40.4","26.9","26.9","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"","320
002","55","3.464","34.5","32.7","27.3","1.8","3.6",".",".",".",".",".",".",".",".",".",".","."
"","320
003","59","3.517","40.7","28.8","25.4","3.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"","320
004","52","3.269","28.8","26.9","23.1","11.5","9.6",".",".",".",".",".",".",".",".",".",".","."
"","320
005","56","3.393","32.1","30.4","30.4","1.8","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","274","3.431","35.4","29.2","26.6","4.4","4.0","0.4",".",".",".",".",".",".",".",".",".","."
"","325
001","58","3.491","37.9","24.1","36.2","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","58","3.422","25.9","34.5","37.9","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","58","3.483","37.9","27.6","29.3","3.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"","325
004","45","3.256","40.0",".","42.2","11.1","4.4","2.2",".",".",".",".",".",".",".",".",".","."
"","325
005","22","3.386","31.8","18.2","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","241","3.419","34.9","22.4","36.9","4.1","1.2","0.4",".",".",".",".",".",".",".",".",".","."
"","330
001","64","3.492","39.1","28.1","28.1","1.6","3.1",".",".",".",".",".",".",".",".",".",".","."
"","330
002","62","3.320","27.4","27.4","32.3","6.5","3.2","1.6",".",".",".",".",".",".","1.6",".",".","."
"","330
003","56","3.327","33.9","17.9","32.1","10.7","1.8","1.8",".",".",".",".",".",".","1.8",".",".","."
"","330
004","58","3.345","41.4","15.5","27.6","8.6","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"","330
005","29","3.482","37.9","31.0","17.2","6.9","3.4",".",".",".",".",".",".",".",".","3.4",".","."
"Derivative Securities","Course Total","269","3.385","35.7","23.4","28.6","6.7","3.0","1.5",".",".",".",".",".",".","0.7","0.4",".","."
"","365
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","23","3.609","30.4","60.9","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","19","3.553","42.1","26.3","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","55","3.682","50.9","34.5","14.5",".",".",".",".",".",".",".",".",".",".",".",".","."
