"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","117","3.209","6.0","43.6","41.9","5.1","2.6","0.9",".",".",".",".",".",".",".",".",".","."
"","300
002","42","3.250","4.8","47.6","40.5","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","45","3.267","8.9","46.7","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","40","3.200","12.5","45.0","27.5","10.0","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"","300
005","47","3.191","12.8","29.8","46.8","8.5",".","2.1",".",".",".",".",".",".",".",".",".","."
"","300
006","47","3.255","10.6","42.6","38.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","300
007","40","3.200","7.5","37.5","47.5","2.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"","300
008","45","3.300","11.1","44.4","37.8","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","50","3.260","8.0","48.0","34.0","8.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","300
010","47","3.309","14.9","51.1","19.1","10.6","4.3",".",".",".",".",".",".",".",".",".",".","."
"","300
011","48","3.354","10.4","54.2","31.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","47","3.319","4.3","68.1","19.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","300
100","27","3.111",".","40.7","44.4","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","642","3.249","8.6","46.1","35.8","6.9","2.2","0.3","0.2",".",".",".",".",".",".",".",".","."
"","305
001","49","3.908","87.8","6.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","37","3.811","91.9",".","2.7",".",".","5.4",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","86","3.866","89.5","3.5","4.7",".",".","2.3",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","310
001","18","3.611","50.0","33.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Nw Vntrs in Bus,Arts&Soc Entrp","320
001","22","3.477","31.8","31.8","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","199","3.470","38.2","30.2","24.1","4.5","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"","322
002","183","3.404","38.3","20.8","32.8","5.5","1.1","0.5","1.1",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurship","Course Total","382","3.438","38.2","25.7","28.3","5.0","1.6","0.8","0.5",".",".",".",".",".",".",".",".","."
"","401
001","31","3.500","41.9","25.8","25.8","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"","401
100","33","3.258","24.2","24.2","33.3","15.2","3.0",".",".",".",".",".",".",".",".",".",".","."
"Leading Teams","Course Total","64","3.375","32.8","25.0","29.7","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"","403
001","19","3.474","31.6","47.4","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","403
002","24","3.667","62.5","25.0","8.3",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","43","3.581","48.8","34.9","9.3","2.3","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"","412
001","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
002","49","3.959","98.0",".",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","Course Total","98","3.980","99.0",".",".",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Leading Change in Organization","420
001","33","3.727","60.6","24.2","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","39","3.872","79.5","15.4","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","42","3.786","69.0","23.8","4.8",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","81","3.827","74.1","19.8","4.9",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","34","3.485","35.3","35.3","20.6","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","441
001","18","3.306","38.9","11.1","27.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","610
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610
100","20","3.600","45.0","40.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","Course Total","39","3.769","66.7","25.6","5.1",".","2.6",".",".",".",".",".",".",".",".",".",".","."
