"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"Intro to Animal Sciences
101","001","","20","3.425","40.0","25.0","25.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"102","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Animal Sciences Lab","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dairy Herd Management I
233","001","","15","3.467","46.7","13.3","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"299","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Livestck Prod&Hlth-Ag Dvlpm
370","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
375","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lactation Physiology
378","001","","24","3.479","37.5","20.8","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ
399","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ruminant Nutr & Metab
414","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reproductive Physiology
434","001","","10","2.550","10.0","20.0","10.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".","."
"Dairy Farm Mgmt Practicum
535","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","3.933","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Ruminant Nutr Phys I
824","001","","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Seminar
900","032","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","","Page 16 of 478"
