"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","654
002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","Course Total","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","655
002","","23","3.239","43.5","17.4","21.7","4.3","4.3","4.3","4.3",".",".",".",".",".",".",".",".","."
"Collection Management","Course Total","","29","3.241","41.4","17.2","24.1","3.4","6.9","3.4","3.4",".",".",".",".",".",".",".",".","."
"","663
001","","11","3.455","54.5","18.2","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","663
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","663
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","663
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Cyberlaw","Course Total","","17","3.529","52.9","23.5","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","668
001","","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","22.2","."
"","668
002","","12","3.500","58.3","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Dig Curation and Collections","Course Total","","21","3.684","66.7","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","9.5","."
"","678
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","678
002","","16","3.433","43.8","31.3","12.5",".",".",".","6.3",".",".",".",".",".","6.3",".",".","."
"Preserv/Conserv-Lib Matls","Course Total","","26","3.640","61.5","23.1","7.7",".",".",".","3.8",".",".",".",".",".","3.8",".",".","."
"","705
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","705
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","705
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Analytics","Course Total","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","707
001","","33","3.833","78.8","15.2","3.0",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","707
003","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","707
004","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","707
005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Vis for Decision Making","Course Total","","55","3.827","78.2","12.7","7.3",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"The Public Library","712
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Archive&Record Mngmnt","734
001","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","751
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
004","","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Info Prof","Course Total","","16","3.719","75.0","6.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","755
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","755
002","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronic Rsrce Mgt & Licnsng","Course Total","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Research Methods","803
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","855
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","855
004","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 291 of 478",""
