"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
002","42","2.845","11.9","21.4","23.8","19.0","19.0","4.8",".",".",".",".",".",".",".",".",".","."
"AsianAm Lit & Pop Culture","152
002","43","3.917","93.0","2.3",".",".",".","2.3",".",".",".",".",".",".",".","2.3",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","94","3.798","78.7","9.6","7.4","1.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"Hmong American Experiences","170
001","50","3.690","74.0","10.0","8.0",".","6.0","2.0",".",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","18","3.278","33.3","33.3","16.7","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"","240
001","35","3.886","97.1",".",".",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","240
005","33","3.318","30.3","21.2","39.4","6.1",".","3.0",".",".",".",".",".",".",".",".",".","."
"","240
008","46","3.587","39.1","47.8","10.9",".",".","2.2",".",".",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","Course Total","114","3.601","54.4","25.4","15.8","1.8",".","1.8","0.9",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246
001","23","3.804","78.3","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Eating Asian America","250
001","26","3.404","26.9","42.3","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Afro Asian Improv","319
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Asian Americans and Media","420
001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Asian American Lit","462
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","540
001","16","3.500","68.8","6.3","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"Ind Study:Directed Readings","699
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"184
ASIAN AM","Dept. Total","465","3.630","63.0","17.2","11.0","3.0","3.7","1.3","0.6",".",".",".",".",".",".","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","65","3.553","52.3","18.5","16.9","3.1","6.2","1.5",".",".",".",".",".",".",".","1.5",".","."
"Sophomore","","175","3.642","65.1","16.0","8.0","4.0","5.1","1.1","0.6",".",".",".",".",".",".",".",".","."
"Junior","","119","3.587","58.0","20.2","16.0","1.7","1.7","0.8","1.7",".",".",".",".",".",".",".",".","."
"Senior","","101","3.695","70.3","15.8","6.9","3.0","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","460","3.626","62.6","17.4","11.1","3.0","3.7","1.3","0.7",".",".",".",".",".",".","0.2",".","."
"Graduate","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","465","3.630","63.0","17.2","11.0","3.0","3.7","1.3","0.6",".",".",".",".",".",".","0.2",".","."
