"BUS","","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","62","3.164","32.3","17.7","24.2","11.3","8.1","3.2","1.6",".","",".","",".",".","",".","","1.6",".",".","."
"","200
002","56","3.527","48.2","25.0","17.9","3.6",".","3.6",".",".","",".","",".",".","",".","",".","1.8",".","."
"International Business","Course Total","118","3.336","39.8","21.2","21.2","7.6","4.2","3.4","0.8","",".","",".",".","",".","",".","0.8","0.8",".","."
"Intercultural Communctn in Bus","320
001","19","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","329
002","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","329
003","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Spanish for Business","Course Total","5","***","","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","365
001","18","3.694","38.9","61.1",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","403
001","21","3.405","47.6","23.8","9.5",".","19.0",".",".",".","",".","",".",".","",".","",".",".",".","."
"","403
002","13","3.731","69.2","7.7","23.1",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Global Issues in Management","Course Total","34","3.529","55.9","17.6","14.7",".","11.8",".",".","",".","",".",".","",".","",".",".",".",".","."
"Global Marketing Strategy","420
001","15","3.567","33.3","46.7","20.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Study Abroad in Intl Bus","450
001","17","3.853","82.4","5.9","11.8",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"235
INTL BUS","Dept. Total","226","3.502","51.3","22.1","15.5","4.0","4.0","1.8","0.4","",".","",".",".","",".","",".","0.4","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","33","3.242","45.5","18.2","12.1","12.1","3.0","6.1","3.0","",".","",".",".","",".","",".",".",".",".","."
"Junior","","68","3.418","41.2","26.5","22.1","1.5","5.9","1.5",".","",".","",".",".","",".","",".","1.5",".",".","."
"Senior","","104","3.632","61.5","20.2","10.6","2.9","3.8","1.0",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","208","3.500","52.4","21.6","14.9","3.8","4.3","1.9","0.5","",".","",".",".","",".","",".","0.5",".",".","."
"Special","","15","3.464","33.3","26.7","26.7","6.7",".",".",".","",".","",".",".","",".","",".",".","6.7",".","."
"Graduate","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","226","3.502","51.3","22.1","15.5","4.0","4.0","1.8","0.4","",".","",".",".","",".","",".","0.4","0.4",".","."
