"Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"775
002","","52","",".",".",".",".",".",".",".","98.1",".",".",".",".","1.9",".",".","."
"775
003","","32","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775
004","","20","",".",".",".",".",".",".",".","95.0",".",".",".",".","5.0",".",".","."
"775
005","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775
006","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775
007","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total","","192","",".",".",".",".",".",".",".","98.4",".",".",".",".","1.6",".",".","."
