"ASIAN LANGUAGES AND CULTU Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","","",""
"","100","001","101","3.918","88.1","4.0","3.0","2.0",".",".",".","3.0",".",".",".",".",".",".",".","."
"","100","002","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gateway to Asia Special Topics","","Course Total","121","3.911","86.8","5.8","3.3","1.7",".",".",".","2.5",".",".",".",".",".",".",".","."
"Intro-E Asian History:China","103","001","43","3.209","16.3","48.8","20.9","2.3","4.7","7.0",".",".",".",".",".",".",".",".",".","."
"Intro-E Asian History:Japan","104","001","21","2.714","19.0","23.8","19.0","14.3","4.8","9.5","9.5",".",".",".",".",".",".",".",".","."
"Art/Sci of Human Flourishing","120","001","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health & Healing in South Asia","218","001","18","3.941","83.3","11.1",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Asia Enchanted","236","001","95","3.747","69.5","15.8","4.2","5.3",".",".","1.1",".",".",".",".",".","2.1",".","1.1","1.1"
"SE Asian Refugees of Cold War","246","001","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Japanese Popular Culture","253","002","28","3.125","39.3","21.4","21.4","3.6","3.6",".","10.7",".",".",".",".",".",".",".",".","."
"Korean Popular Culture","254","001","22","3.864","86.4","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","50","3.480","72.0","4.0","8.0","6.0",".",".","8.0","2.0",".",".",".",".",".",".",".","."
"Religion in South Asia","274","001","21","3.806","57.1","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","300","001","10","3.700","80.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","300","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Asian Studies","","Course Total","17","3.531","64.7","5.9","11.8",".","5.9","5.9",".",".",".",".",".",".","5.9",".",".","."
"","301","001","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","301","002","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Studies Topics in EAS","","Course Total","14","3.536","42.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"A Survey of Tibetan Buddhism","307","001","78","3.993","91.0","1.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Hist-China 589 AD-1919","337","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Early Modern Japanese Lit","354","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Language in Japanese Society","358","001","25","3.729","68.0","8.0","16.0","4.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"Topics in Asian Literature","360","001","27","3.700","63.0","14.8","7.4","3.7","3.7",".",".",".",".",".",".",".",".","3.7",".","3.7"
"Love and Politics: Genji","361","001","76","3.533","63.2","9.2","13.2","6.6","2.6","2.6","1.3","1.3",".",".",".",".",".",".",".","."
"Topics-Chinese Literature","371","001","107","3.814","71.0","20.6","4.7","0.9","0.9",".",".","0.9",".",".",".",".","0.9",".",".","."
"Cities of Asia","379","001","10","3.000","20.0","20.0","30.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"Topics-E Asian Visual Cultures","433","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching of Japanese","435","001","16","3.933","87.5",".","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Meditation Buddhism & Hinduism","473","001","18","3.735","61.1","16.7","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Readings in Early Mod Jpn Lit","533","001","7","3.143","28.6","57.1",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Map & Represent Colonial Space","621","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630","002","27","3.907","85.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar: Cultures of Asia","","Course Total","41","3.890","82.9","12.2","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Applied Linguistics","633","001","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
