"Third Semester Hebrew
201","001
9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature
301","001
1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Modern Hebrew Lit
401","001
4","***","","","","","","","","","",".",".",".",".",".",".","."
"442
HEBR-MOD","Dept. Total
32","3.890","78.1","21.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","",""
"Freshmen","8","3.871","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","12","3.913","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","28","3.894","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
32","3.890","78.1","21.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
