"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Topics in CANES","101
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in CANES - Literature","102
001","98","3.665","66.3","19.4","6.1","4.1",".","1.0","2.0",".",".",".",".",".","1.0",".",".","."
"Nature, Race, Difference","103
001","46","3.533","54.3","26.1","10.9","2.2","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"Ancient Monsters","150
001","132","3.576","39.4","40.9","14.4","3.8","0.8",".",".",".",".",".",".",".",".","0.8",".","."
"Art&Archaeology-Ancient Greece","300
001","25","3.444","44.0",".","16.0","8.0",".","4.0",".","28.0",".",".",".",".",".",".",".","."
"Sex and Violence in the ANE","308
001","36","3.569","58.3","22.2","11.1","2.8","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"The Greeks","320
001","99","3.520","50.5","27.3","9.1","6.1","5.1","2.0",".",".",".",".",".",".",".",".",".","."
"The Egyptians","321
001","46","3.214","52.2","4.3","8.7","4.3","13.0","6.5","2.2","6.5",".",".",".",".",".",".","2.2","."
"The Romans","322
001","87","3.634","66.7","14.9","10.3",".","4.6",".","2.3",".",".",".",".",".",".",".","1.1","."
"King David","335
001","19","3.583","26.3","21.1","15.8",".",".",".",".","15.8",".",".",".",".",".",".","21.1","."
"Women in the Classical World","351
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Greeks, Romans, Nat. Env.","488
001","27","3.750","48.1","37.0","3.7",".",".",".",".",".",".",".",".",".","3.7","7.4",".","."
"","681
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Reading","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"244
CLASSICS","Dept. Total","651","3.585","54.7","23.2","9.8","3.2","2.8","1.2","1.1","2.0",".",".",".","0.3","0.3","0.5","0.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","69","3.522","47.8","27.5","17.4","1.4","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Sophomore","","150","3.520","52.0","29.3","10.7","2.7","0.7","1.3","3.3",".",".",".",".",".",".",".",".","."
"Junior","","186","3.598","54.8","24.7","10.2","4.3","4.3",".","0.5",".",".",".",".",".","1.1",".",".","."
"Senior","","217","3.637","63.6","18.9","6.9","3.7","3.2","1.8","0.5","0.5",".",".",".","0.9",".",".",".","."
"Undergraduates","","622","3.584","56.4","24.1","10.0","3.4","2.9","1.3","1.1","0.2",".",".",".","0.3","0.3",".",".","."
"Special","","28","3.643","14.3","3.6","7.1",".",".",".",".","42.9",".",".",".",".",".","10.7","21.4","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","651","3.585","54.7","23.2","9.8","3.2","2.8","1.2","1.1","2.0",".",".",".","0.3","0.3","0.5","0.9","."
