"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Rsch:Trainee Pol, Cult, Soc
992","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research:Soc of Econ Chnge
993","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch: Methodology Trainees
995","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Demogrphy&Ecol Trainee
997","002","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research","Course Total","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
