"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"URB R PL","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","20","3.775","80.0","5.0","10.0",".","5.0","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","27","3.822","74.1","14.8","7.4","3.7",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","51","3.785","66.7","27.5","3.9","2.0",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","99","3.796","71.7","19.2","6.1","2.0","1.0","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","6","4.000","66.7",".",".",".",".","",".","",".","33.3","",".",".","",".","",".",".",".",".","."
"Graduate","112","3.840","75.0","7.1","5.4","1.8",".","",".","",".","8.0","",".",".","",".","",".","2.7",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
