"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","21","1.714","28.6",".","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Sources","602
001","27","1.519","22.2",".","18.5",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
001","59","1.729","23.7",".","23.7",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","711
002","62","1.311","11.3",".","25.8",".","1.6","3.2",".",".",".",".",".",".",".","1.6",".","."
"","711
003","63","1.714","28.6",".","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","59","1.356","18.6",".","16.9",".","5.1",".",".",".",".",".",".",".",".",".",".","."
"Contracts","Course Total","243","1.529","20.6",".","21.4",".","2.5","0.8",".",".",".",".",".",".",".","0.4",".","."
"","714
001","58","1.328","20.7",".","15.5",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"","714
002","59","1.712","18.6",".","32.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","714
003","64","0.969","12.5",".","12.5",".","4.7",".",".",".",".",".",".",".",".",".",".","."
"","714
004","56","0.696","10.7",".","5.4",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"Civil Procedure","Course Total","237","1.177","15.6",".","16.5",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","722
001","18","0.889","5.6",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
002","18","1.556","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
003","18","1.611","27.8",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
004","18","0.778","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
005","18","1.500","16.7",".","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
006","18","1.000","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
007","17","1.941","17.6",".","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
008","17","2.000","41.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
009","17","1.059","17.6",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
010","18","0.833","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
011","18","1.111","11.1",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
012","17","1.235","17.6",".","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
013","17","1.412","17.6",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legl Analysis, Advocacy &Wtg I","Course Total","229","1.297","18.3",".","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","725
001","78","0.711","7.7",".","12.8",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","726
001","57","0.930","15.8",".","8.8",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","726
002","50","1.220","14.0",".","22.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
003","59","1.441","16.9",".","25.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
004","61","1.557","14.8",".","31.1",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Criminal Law and Procedure","Course Total","227","1.295","15.4",".","22.0",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","24","0.739","8.3",".","12.5",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","734
001","96","0.778","7.3",".","12.5",".","3.1",".",".","6.3",".",".",".",".",".",".",".","."
"","734
002","61","0.925","13.1",".","8.2",".","1.6",".",".","13.1",".",".",".",".",".",".",".","."
"Trusts and Estates","Course Total","157","0.832","9.6",".","10.8",".","2.5",".",".","8.9",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","21","1.714","19.0",".","28.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law II","740
001","72","0.682","8.3",".","9.7",".",".",".","2.8","8.3",".",".",".",".",".",".",".","."
"Taxation I","742
001","37","1.029","8.1",".","21.6",".",".",".",".","5.4",".",".",".",".",".",".",".","."
"","743
001","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
