"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Human Physiology and Health","235
001","77","3.013","19.5","18.2","35.1","15.6","6.5","2.6","2.6",".",".",".",".",".",".",".",".","."
"","335
001","48","3.302","47.9","8.3","29.2","2.1","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"","335
002","48","3.281","54.2","2.1","20.8","4.2","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","335
003","50","3.170","38.0","18.0","22.0","8.0","6.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","335
004","49","3.000","36.7","4.1","30.6",".","20.4","6.1","2.0",".",".",".",".",".",".",".",".","."
"","335
005","47","2.947","31.9","14.9","23.4",".","19.1","6.4","4.3",".",".",".",".",".",".",".",".","."
"","335
006","46","2.978","37.0","10.9","19.6","10.9","8.7","8.7","4.3",".",".",".",".",".",".",".",".","."
"","335
007","48","3.292","47.9","8.3","18.8","8.3","14.6","2.1",".",".",".",".",".",".",".",".",".","."
"","335
008","46","3.304","43.5","10.9","28.3","6.5","6.5","4.3",".",".",".",".",".",".",".",".",".","."
"","335
009","50","3.280","38.0","10.0","38.0","2.0","10.0","2.0",".",".",".",".",".",".",".",".",".","."
"","335
010","50","3.350","52.0","4.0","22.0","6.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"","335
011","44","3.398","56.8","9.1","15.9","6.8","4.5","6.8",".",".",".",".",".",".",".",".",".","."
"","335
012","43","3.023","30.2","16.3","27.9","7.0","9.3","4.7","4.7",".",".",".",".",".",".",".",".","."
"Physiology","Course Total","569","3.195","42.9","9.7","24.8","5.1","11.1","4.9","1.6",".",".",".",".",".",".",".",".","."
"","337
001","171","3.310","43.9","22.2","11.1","9.4","8.8","3.5","1.2",".",".",".",".",".",".",".",".","."
"","337
002","166","3.271","42.8","17.5","13.9","11.4","10.8","3.0","0.6",".",".",".",".",".",".",".",".","."
"","337
003","80","2.919","18.8","22.5","18.8","18.8","13.8","7.5",".",".",".",".",".",".",".",".",".","."
"","337
004","86","2.657","12.8","11.6","22.1","17.4","30.2","3.5","2.3",".",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","503","3.123","34.2","18.9","15.1","12.9","13.9","4.0","1.0",".",".",".",".",".",".",".",".","."
"","338
001","31","3.371","45.2","22.6","9.7","12.9","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"","338
002","31","3.274","45.2","16.1","19.4","6.5","6.5","3.2","3.2",".",".",".",".",".",".",".",".","."
"","338
003","30","3.000","30.0","26.7","10.0","6.7","20.0",".","6.7",".",".",".",".",".",".",".",".","."
"","338
004","29","3.414","44.8","20.7","27.6",".","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","338
005","29","3.207","31.0","31.0","17.2","3.4","13.8",".","3.4",".",".",".",".",".",".",".",".","."
"","338
006","30","3.350","56.7","10.0","10.0","6.7","10.0","6.7",".",".",".",".",".",".",".",".",".","."
"","338
007","27","3.204","40.7","18.5","11.1","7.4","18.5","3.7",".",".",".",".",".",".",".",".",".","."
"","338
008","27","3.444","40.7","29.6","18.5",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","234","3.282","41.9","21.8","15.4","5.6","11.1","2.1","2.1",".",".",".",".",".",".",".",".","."
"","399
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
