"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"932
STAT","Dept. Total","4273","3.279","40.7","17.9","18.6","8.2","9.2","3.0","0.5","1.1","",".",".","",".","0.4","0.2","0.0","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","87","3.071","23.0","19.5","24.1","11.5","16.1","4.6",".",".","",".",".","",".",".",".","1.1",".","."
"Sophomore","","652","3.177","34.5","17.6","20.6","10.0","11.0","4.6","0.9",".","",".",".","",".",".","0.5","0.2",".","0.2"
"Junior","","1399","3.184","36.3","15.7","21.0","10.9","11.7","3.6","0.5","0.1","",".",".","",".",".","0.3",".",".","."
"Senior","","1323","3.260","41.3","17.3","18.6","8.3","10.7","2.9","0.6",".","",".",".","",".","0.2","0.2",".",".","."
"Undergraduates","","3461","3.208","37.5","16.8","20.1","9.7","11.3","3.5","0.6","0.0","",".",".","",".","0.1","0.3","0.1",".","0.0"
"Special","","120","3.519","53.3","24.2","10.8","1.7","2.5","5.0",".","2.5","",".",".","",".",".",".",".",".","."
"Graduate","","690","3.661","54.3","22.0","12.5","1.9","0.1","0.1","0.1","6.4","",".",".","",".","2.2",".",".","0.3","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","4273","3.279","40.7","17.9","18.6","8.2","9.2","3.0","0.5","1.1","",".",".","",".","0.4","0.2","0.0","0.0","0.0"
