"L&S","","","","","","","","","","","","","","","","","","","","",""
"ASIAN LANG & CULTURE: LANG Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
186
ASIALANG","857","3.637","63.8","18.3","7.6","3.9","3.6","1.1","0.6","1.1","",".",".","",".","",".","0.1",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","103","3.475","48.5","24.3","14.6","5.8","3.9","1.9","1.0",".","",".",".","",".","",".",".",".",".","."
"Sophomore","204","3.658","66.2","17.2","6.4","4.9","3.9","0.5","0.5",".","",".",".","",".","",".","0.5",".",".","."
"Junior","229","3.573","59.4","22.7","6.6","3.5","5.7","1.7","0.4",".","",".",".","",".","",".",".",".",".","."
"Senior","225","3.732","71.1","15.6","6.7","3.1","1.3","0.9","0.4","0.9","",".",".","",".","",".",".",".",".","."
"Undergraduates","761","3.627","63.2","19.3","7.6","4.1","3.7","1.2","0.5","0.3","",".",".","",".","",".","0.1",".",".","."
"Special","41","3.556","53.7","14.6","9.8","2.4","4.9",".","2.4","12.2","",".",".","",".","",".",".",".",".","."
"Graduate","55","3.839","80.0","7.3","5.5","1.8","1.8",".",".","3.6","",".",".","",".","",".",".",".",".","."
"Dept. Total","857","3.637","63.8","18.3","7.6","3.9","3.6","1.1","0.6","1.1","",".",".","",".","",".","0.1",".",".","."
